,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period
61,BackS002587,-39.8892,-0.0351,2.915e-17,2.221e-17,9.442e-18,0.0,13.27,1,23.23025811397904
62,BackS002686,-44.7816,2.3866,4.49e-14,4.269e-14,2.841e-14,0.0,6.95,1,46.83153013910355
63,BackS002739,-44.8255,2.3791,9.676e-14,7.465e-14,3.184e-14,-0.0,6.55,1,43.513642891335564
64,BackS002824,-44.8049,2.4249,4.975e-14,4.22e-14,2.268e-14,-0.0,7.78,1,48.01901743264659
65,BackS003126,-44.8168,2.4128,1.115e-17,8.713e-18,3.965e-18,0.0,8.05,1,27.07774798927614
66,BackS003132,-44.9031,2.3872,8.114e-14,6.357e-14,2.764e-14,-0.001,5.48,1,42.14186369958275
67,BackS003219,-44.8598,2.4098,1.154e-17,9.031e-18,3.946e-18,-0.0,8.45,1,26.949303290839016
68,BackS003222,-44.86,2.4099,9.776e-18,7.655e-18,3.434e-18,0.001,9.68,1,27.110050700864896
69,BackS003235,-44.9109,2.3883,1.032e-17,7.98e-18,3.428e-18,0.0,5.77,1,27.110050700864896
70,BackS003238,-44.9201,2.3834,2.216e-17,1.717e-17,7.393e-18,0.0,5.76,1,25.699745547073793
71,BackS003247,-44.7873,2.4603,2.574e-17,1.915e-17,8.111e-18,-0.0,8.13,1,24.965668772315297
72,BackS003250,-44.7893,2.4732,2.959e-17,2.296e-17,9.781e-18,0.0,8.3,1,26.083213773314206
73,BackS003260,-44.7946,2.4988,8.052e-18,6.032e-18,2.556e-18,-0.0,8.35,1,26.727433107909437
74,BackS003268,-44.8017,2.5319,1.413e-17,1.085e-17,4.587e-18,0.0,8.23,1,27.84073506891271
75,BackS003269,-44.8082,2.5287,4.532e-14,4.067e-14,2.376e-14,0.001,8.23,1,45.79345088161209
76,BackS003271,-44.81,2.5341,2.779e-17,2.133e-17,8.957e-18,0.0,8.21,1,24.35038842753817
77,BackS003275,-44.8954,2.2789,1.261e-17,9.962e-18,4.531e-18,-0.0,5.46,1,25.787234042553187
78,BackS003280,-44.8769,2.2653,1.723e-17,1.289e-17,5.496e-18,0.0,5.5,1,25.103562551781273
79,BackS003282,-44.8523,2.5624,1.29e-17,9.96e-18,4.376e-18,-0.0,8.05,1,25.758005100595067
80,BackS003300,-44.7599,2.2613,5.564e-14,4.643e-14,2.329e-14,0.0,6.2,1,44.800394282897976
81,BackS003302,-44.9733,2.5455,5.338e-14,4.074e-14,1.72e-14,0.001,7.36,1,46.73521850899743
82,BackS003318,-44.8875,2.399,3.784e-17,2.877e-17,1.203e-17,0.0,5.8,1,23.914759273875294
83,BackS003331,-44.8214,2.4379,2.436e-17,1.899e-17,8.288e-18,0.001,8.19,1,25.214979195561718
84,BackS003363,-44.9199,2.3514,9.705e-18,7.525e-18,3.276e-18,0.0,5.51,1,27.90911882100092
85,BackS003372,-44.7992,2.4943,1.952e-17,1.499e-17,6.507e-18,0.001,8.36,1,26.023475522473518
86,BackS003384,-44.9011,2.323,2.556e-17,1.978e-17,8.343e-18,-0.0,5.49,1,25.584013509710104
87,BackS003395,-44.8976,2.3008,2.226e-17,1.696e-17,6.857e-18,0.001,5.49,1,24.667571234735416
88,BackS003403,-44.8915,2.2784,8.096e-18,6.305e-18,2.886e-18,-0.001,5.5,1,28.46852489821484
89,BackS003409,-44.8815,2.274,5.944e-14,5.464e-14,3.331e-14,0.0,5.61,1,45.066931085770946
90,BackS003436,-44.91,2.5556,2.191e-17,1.66e-17,6.862e-18,0.001,7.77,1,24.117803130803924
91,BackS003454,-44.7738,2.2731,1.472e-17,1.123e-17,4.789e-18,0.0,6.05,1,27.537109966676766
92,BackS003462,-44.7422,2.2897,1.207e-17,9.489e-18,4.171e-18,-0.0,6.31,1,27.70496799756172
93,BackS003624,-42.6304,-0.0239,1.068e-13,8.086e-14,3.392e-14,0.0,4.87,1,42.22015791918254
94,BackS003741,-42.5678,-0.0909,6.223e-14,5.506e-14,3.112e-14,0.001,7.82,1,45.97875569044005
95,BackS003750,-42.5912,-0.0452,7.066e-14,6.649e-14,4.223e-14,0.001,5.89,1,46.353901070882195
96,BackS003824,-42.6345,0.0484,6.269e-14,5.151e-14,2.467e-14,0.001,4.14,1,45.60963371801304
97,BackS003857,-42.6544,-0.0515,7.345e-14,6.423e-14,3.569e-14,0.0,5.84,1,46.63930220625962
98,BackS003872,-42.6342,-0.0598,2.113e-17,1.624e-17,7.222e-18,-0.0,6.73,1,26.386066763425255
99,BackS003903,-42.5586,-0.042,9.031e-14,8.464e-14,5.383e-14,0.0,6.02,1,45.60963371801304
100,BackS003935,-42.5635,-0.0576,1.149e-13,9.493e-14,4.631e-14,-0.001,7.43,1,42.93811998110534
101,BackS003976,-42.5813,-0.0149,8.905e-14,8.97e-14,6.573e-14,0.001,4.69,1,44.104803493449786
102,BackS004013,-42.5772,-0.0249,2.093e-17,1.589e-17,6.786e-18,0.0,4.82,1,26.981300089047195
103,BackS004053,-42.5802,-0.0489,5.09e-14,3.916e-14,1.687e-14,-0.001,6.27,1,46.44864588656106
104,BackS004162,-42.6489,-0.0281,1.279e-17,9.998e-18,4.614e-18,-0.001,5.22,1,28.756722556153115
105,BackS004252,-42.6536,-0.0468,1.271e-13,1.024e-13,4.995e-14,0.0,5.96,1,42.857142857142854
106,BackS004255,-42.6679,-0.0358,2.171e-17,1.715e-17,7.734e-18,-0.0,5.61,1,25.271059216013345
107,BackS004262,-42.5989,-0.0481,1.815e-17,1.442e-17,6.57e-18,-0.0,5.66,1,25.15914752283421
108,BackS004275,-42.6694,-0.061,1.51e-17,1.149e-17,4.95e-18,0.0,6.05,1,27.07774798927614
109,BackS004285,-42.5421,0.0135,5.151e-14,4.061e-14,1.883e-14,-0.0,5.04,1,47.41784037558685
110,BackS004301,-42.6036,-0.1632,1.255e-17,9.61e-18,4.174e-18,0.0,7.8,1,25.412356723511323
111,BackS004307,-42.5769,-0.1727,1.867e-17,1.467e-17,6.572e-18,0.0,8.04,1,27.110050700864896
112,BackS004331,-42.4845,-0.1114,9.885e-17,7.122e-17,2.649e-17,0.0,7.24,1,2.8433795239137916
113,BackS004363,-42.6526,-0.1784,3.251e-17,2.479e-17,1.075e-17,0.0,7.69,1,25.584013509710104
114,BackS004378,-42.6354,0.1188,8.848e-18,6.848e-18,2.928e-18,0.0,3.9,1,27.33834586466165
115,BackS004386,-42.5125,-0.208,1.469e-17,1.168e-17,5.148e-18,0.001,8.12,1,27.272727272727273
116,BackS004405,-42.4485,-0.1023,1.497e-17,1.157e-17,5.165e-18,-0.0,6.95,1,26.44748327029386
117,BackS004410,-42.4395,-0.0647,2.314e-17,1.731e-17,7.076e-18,0.001,6.41,1,25.84589138470287
118,BackS004422,-42.7235,-0.138,1.425e-17,1.087e-17,4.546e-18,-0.0,6.89,1,25.993708893337146
119,BackS004432,-42.6661,-0.2104,2.366e-17,1.813e-17,7.793e-18,0.0,7.62,1,25.87532023911187
120,BackS004437,-42.6374,-0.232,2.207e-17,1.661e-17,6.901e-18,0.001,7.88,1,25.787234042553187
121,BackS004440,-42.5811,0.1357,2.418e-17,1.857e-17,7.727e-18,0.0,4.13,1,26.3249348392702
122,BackS004445,-42.5348,-0.0483,1.562e-17,1.218e-17,5.504e-18,0.0,6.23,1,27.07774798927614
123,BackS004446,-42.6687,-0.0517,2.223e-17,1.7e-17,7.437e-18,0.0,6.0,1,26.26408552441491
124,BackS004467,-42.6533,-0.1099,1.242e-17,9.878e-18,4.425e-18,-0.0,7.2,1,27.305497146290175
125,BackS004490,-42.6095,0.0567,1.652e-17,1.263e-17,5.347e-18,0.0,4.04,1,26.75890491610244
126,BackS004502,-42.5487,-0.1748,1.692e-17,1.293e-17,5.416e-18,0.0,8.27,1,25.355648535564853
127,BackS004531,-42.4802,-0.0854,1.573e-17,1.241e-17,5.524e-18,-0.0,6.93,1,27.90911882100092
128,BackS004557,-42.5145,0.0476,2.175e-17,1.666e-17,7.16e-18,-0.0,5.0,1,27.5705186533212
129,BackS004568,-42.6539,-0.1708,1.463e-17,1.132e-17,5.143e-18,0.001,7.53,1,27.17488789237668
130,BackS004573,-42.6302,-0.1924,1.387e-17,1.078e-17,4.76e-18,-0.0,7.88,1,28.186046511627907
131,BackS004599,-42.6761,0.0984,2.357e-17,1.807e-17,7.346e-18,0.0,4.19,1,26.113185866130422
132,BackS004619,-42.737,0.0395,2.829e-17,2.2e-17,9.556e-18,0.0,4.94,1,26.63346029885731
133,BackS004703,-43.4229,-0.537,8.69e-14,7.801e-14,4.463e-14,-0.0,15.08,1,44.36310395314788
134,BackS004820,-43.5481,-0.4156,2.671e-17,2.066e-17,8.671e-18,-0.001,18.85,1,26.509186351706038
135,BackS004868,-43.5214,-0.4609,1.185e-13,8.895e-14,3.763e-14,-0.0,15.58,1,42.93811998110534
136,BackS005012,-43.5279,-0.4161,9.374e-14,7.332e-14,3.148e-14,0.0,18.56,1,42.696101456082665
137,BackS005089,-43.5136,-0.4616,1.559e-17,1.182e-17,4.957e-18,0.001,15.4,1,28.46852489821484
138,BackS005107,-43.603,-0.4606,8.977e-14,6.908e-14,3.019e-14,-0.0,17.95,1,43.7650457390467
139,BackS005160,-43.527,-0.4261,2.859e-17,2.248e-17,9.921e-18,0.001,18.07,1,25.242988058872534
140,BackS005203,-43.5301,-0.4421,8.704e-14,7.759e-14,4.475e-14,0.001,16.03,1,44.71224790949336
141,BackS005220,-43.526,-0.4357,1.057e-13,8.331e-14,3.699e-14,0.0,17.24,1,42.37762237762237
142,BackS005226,-43.5211,-0.4202,1.268e-17,1.013e-17,4.508e-18,0.001,17.98,1,26.63346029885731
143,BackS005272,-43.5261,-0.4591,5.35e-17,4.074e-17,1.674e-17,-0.0,16.15,1,23.088646177292354
144,BackS005277,-43.5426,-0.4448,5.899e-14,5.559e-14,3.482e-14,-0.0,17.07,1,48.12069878242456
145,BackS005282,-43.5436,-0.4164,1.516e-17,1.195e-17,5.47e-18,0.0,18.43,1,28.397375820056233
146,BackS005298,-43.5384,-0.4205,1.381e-13,1.118e-13,5.307e-14,0.0,18.22,1,41.60183066361556
147,BackS005374,-43.5406,-0.416,6.294e-14,4.913e-14,2.201e-14,-0.0,17.89,1,45.60963371801304
148,BackS005396,-43.5333,-0.412,1.201e-13,1.019e-13,5.349e-14,0.0,17.89,1,44.536991670749636
149,BackS005397,-43.5402,-0.4026,1.175e-13,9.405e-14,4.252e-14,0.001,18.21,1,43.18289786223278
150,BackS005439,-43.5794,-0.3591,2.763e-17,2.083e-17,8.479e-18,0.0,19.2,1,24.194836305562948
151,BackS005443,-43.461,-0.5251,1.429e-17,1.124e-17,5.1e-18,-0.0,14.9,1,27.637579811492852
152,BackS005449,-43.6076,-0.3353,3.118e-17,2.388e-17,1.015e-17,0.001,19.66,1,26.386066763425255
153,BackS005451,-43.4415,-0.5414,9.386e-14,7.865e-14,3.871e-14,-0.001,14.62,1,43.934267762203966
154,BackS005473,-43.5938,-0.3801,3.96e-17,3.043e-17,1.288e-17,-0.0,18.59,1,24.041258926209995
155,BackS005476,-43.4641,-0.4829,1.327e-17,1.051e-17,4.805e-18,0.0,16.09,1,28.72037914691943
156,BackS005483,-43.4975,-0.4427,4.241e-17,3.205e-17,1.373e-17,0.001,16.91,1,24.748162265178326
157,BackS005487,-43.5424,-0.4529,7.435e-14,6.666e-14,3.97e-14,-0.0,17.05,1,46.73521850899743
158,BackS005493,-43.5468,-0.381,2.58e-17,1.968e-17,8.193e-18,0.001,18.07,1,26.173337172473364
159,BackS005505,-43.6083,-0.3102,2.277e-17,1.779e-17,7.603e-18,0.001,19.27,1,24.775143090760427
160,BackS005511,-43.6332,-0.2933,1.606e-17,1.274e-17,5.747e-18,-0.0,19.66,1,27.305497146290175
161,BackS005518,-43.411,-0.5842,1.189e-13,9.166e-14,4.078e-14,-0.0,14.52,1,43.7650457390467
162,BackS005521,-43.4012,-0.5896,1.436e-17,1.107e-17,4.667e-18,0.001,14.6,1,26.949303290839016
163,BackS005526,-43.4002,-0.5839,1.852e-17,1.463e-17,6.657e-18,0.001,14.64,1,28.081556997219646
164,BackS005532,-43.6378,-0.3216,2.446e-17,1.844e-17,7.946e-18,-0.0,19.34,1,26.47829886396737
165,BackS005539,-43.4248,-0.5267,7.722e-14,6.197e-14,2.957e-14,-0.0,15.56,1,46.63930220625962
166,BackS005556,-43.5319,-0.4742,5.832e-17,4.449e-17,1.834e-17,-0.0,16.75,1,25.271059216013345
167,BackS005560,-43.5092,-0.504,2.344e-17,1.837e-17,8.117e-18,0.0,16.3,1,25.355648535564853
168,BackS005565,-43.4753,-0.5451,1.596e-17,1.249e-17,5.545e-18,-0.0,15.73,1,28.326581489560613
169,BackS005583,-43.6619,-0.2644,1.487e-17,1.163e-17,5.204e-18,-0.0,19.87,1,26.727433107909437
170,BackS005648,-43.4547,-0.5136,3.239e-17,2.448e-17,1.011e-17,0.0,15.32,1,25.355648535564853
171,BackS005650,-43.6048,-0.3632,2.545e-17,1.978e-17,8.912e-18,-0.001,18.95,1,25.64174894217207
172,BackS005660,-43.4834,-0.4655,2.232e-17,1.711e-17,7.385e-18,0.001,16.34,1,26.416739319965124
173,BackS005665,-43.4901,-0.4534,1.597e-17,1.275e-17,5.687e-18,-0.0,16.71,1,26.023475522473518
174,BackS005685,-43.4961,-0.502,1.253e-17,9.83e-18,4.543e-18,0.0,15.97,1,27.73878547451938
175,BackS005698,-43.4464,-0.5565,2.114e-17,1.619e-17,7.143e-18,0.001,15.01,1,25.84589138470287
176,BackS005705,-43.4318,-0.5682,1.248e-17,1.005e-17,4.505e-18,-0.0,14.78,1,27.977839335180054
177,BackS005731,-43.4164,-0.5655,1.312e-17,1.006e-17,4.257e-18,-0.001,14.8,1,27.045522166022014
178,BackS005751,-43.6,-0.3938,8.912e-14,7.463e-14,3.699e-14,0.001,18.1,1,46.73521850899743
179,BackS005755,-43.4623,-0.475,2.553e-17,1.987e-17,8.525e-18,0.001,16.42,1,26.294474978304887
180,BackS005771,-43.5117,-0.512,4.296e-14,4.068e-14,2.691e-14,0.0,16.26,1,48.428343100692594
181,BackS005773,-43.4994,-0.5093,5.135e-14,4.059e-14,1.894e-14,0.0,16.12,1,48.531767218366255
182,BackS005799,-43.3969,-0.6077,9.65e-14,7.735e-14,3.537e-14,-0.001,14.54,1,45.2463912394226
183,BackS005857,-40.3343,4.9432,8.057e-14,6.303e-14,2.793e-14,0.0,13.52,1,45.33665835411471
184,BackS005859,-40.3043,4.9116,6.597e-14,5.887e-14,3.357e-14,-0.0,13.6,1,45.51827741612418
185,BackS006189,-40.2835,4.8946,9.936e-14,7.653e-14,3.387e-14,-0.0,14.78,1,43.59712230215827
186,BackS006192,-40.3171,4.9239,9.689e-18,7.64e-18,3.381e-18,-0.001,13.47,1,27.5705186533212
187,BackS006210,-40.3233,4.9108,7.143e-14,6.611e-14,4.155e-14,0.0,13.08,1,46.353901070882195
188,BackS006302,-40.2935,4.9433,1.234e-13,9.646e-14,4.198e-14,-0.0,14.46,1,42.37762237762237
189,BackS006310,-40.2621,4.9147,6.549e-14,6.217e-14,4.007e-14,0.001,15.2,1,46.92823954568921
190,BackS006311,-40.3798,4.9071,9.884e-14,8.088e-14,3.784e-14,0.0,12.59,1,43.513642891335564
191,BackS006350,-40.2984,4.8815,1.954e-17,1.518e-17,6.432e-18,-0.0,13.76,1,27.50378214826021
192,BackS006378,-40.2904,4.8606,3.698e-17,2.861e-17,1.189e-17,0.001,13.75,1,24.246465724193115
193,BackS006381,-40.3268,4.8769,3.632e-17,2.799e-17,1.18e-17,-0.001,13.09,1,24.587503381119827
194,BackS006411,-40.3195,4.9608,1.076e-17,8.57e-18,3.831e-18,-0.001,14.16,1,27.90911882100092
195,BackS006417,-40.2833,4.9457,8.795e-14,6.623e-14,2.729e-14,-0.0,14.63,1,44.01937046004842
196,BackS006428,-40.3152,4.8478,8.452e-14,6.402e-14,2.689e-14,0.0,13.37,1,43.01940369143398
197,BackS006457,-40.2959,4.9891,5.275e-14,5.599e-14,4.341e-14,-0.001,14.6,1,45.70135746606335
198,BackS006478,-40.3038,4.8354,8.936e-14,7.111e-14,3.273e-14,0.0,13.69,1,44.276668290306866
199,BackS006504,-40.3036,4.9139,2.085e-17,1.652e-17,7.211e-18,-0.0,17.48,1,23.301717508331198
200,BackS006517,-40.2814,5.0118,3.678e-17,2.745e-17,1.12e-17,0.0,14.42,1,25.29919287503479
201,BackS006529,-40.3659,4.8078,1.461e-17,1.159e-17,5.351e-18,-0.0,13.01,1,27.404280976786254
202,BackS006530,-40.3709,4.812,4.144e-17,3.171e-17,1.321e-17,-0.0,13.16,1,22.606316836607807
203,BackS006532,-40.2327,5.0111,1.427e-17,1.13e-17,5.037e-18,0.0,14.93,1,27.404280976786254
204,BackS006546,-40.4299,4.8194,3.701e-17,2.912e-17,1.247e-17,0.001,12.67,1,24.169103961712306
205,BackS006552,-40.4613,4.8261,1.34e-17,1.04e-17,4.374e-18,0.0,12.6,1,27.671232876712324
206,BackS006559,-40.4877,4.8472,1.944e-17,1.519e-17,6.696e-18,-0.0,12.52,1,25.81652939505822
207,BackS006560,-40.1235,4.9776,1.61e-17,1.266e-17,5.775e-18,-0.001,15.46,1,27.73878547451938
208,BackS006571,-40.0883,4.9429,5.785e-14,4.578e-14,2.087e-14,-0.001,15.34,1,45.97875569044005
209,BackS006582,-40.5268,4.9324,3.332e-17,2.521e-17,1.073e-17,0.0,12.72,1,23.470178156467853
210,BackS006583,-40.0673,4.8889,1.529e-17,1.182e-17,5.083e-18,-0.0,15.27,1,26.44748327029386
211,BackS006596,-40.2666,5.0133,5.703e-14,5.912e-14,4.49e-14,0.0,14.48,1,46.25954198473282
212,BackS006643,-40.1038,4.9545,6.435e-14,5.154e-14,2.342e-14,0.0,15.44,1,46.25954198473282
213,BackS006817,-41.1502,1.3365,8.443e-14,6.453e-14,2.681e-14,0.0,9.67,1,43.43048256091734
214,BackS006890,-41.1578,1.3314,8.484e-14,6.641e-14,2.861e-14,0.0,8.95,1,44.36310395314788
215,BackS007046,-41.1474,1.3781,3.504e-17,2.635e-17,1.079e-17,-0.001,11.05,1,23.325635103926096
216,BackS007070,-41.1443,1.3228,1.402e-17,1.076e-17,4.613e-18,-0.0,8.61,1,28.611898016997163
217,BackS007109,-41.146,1.3613,2.295e-17,1.775e-17,7.853e-18,0.001,9.34,1,26.023475522473518
218,BackS007174,-41.1582,1.3765,7.431e-14,6.969e-14,4.401e-14,0.0,12.05,1,44.276668290306866
219,BackS007197,-41.1507,1.3351,2.098e-17,1.64e-17,7.283e-18,0.0,8.78,1,25.15914752283421
220,BackS007352,-41.1437,1.2718,2.639e-17,2.059e-17,9.151e-18,0.0,8.32,1,24.041258926209995
221,BackS007356,-41.1447,1.2695,3.892e-17,3.037e-17,1.33e-17,0.0,8.32,1,23.206535613990297
222,BackS007361,-41.171,1.4484,1.651e-17,1.29e-17,5.408e-18,0.001,12.73,1,27.5705186533212
223,BackS007365,-41.1434,1.2915,2.354e-17,1.84e-17,8.132e-18,0.0,8.9,1,26.949303290839016
224,BackS007385,-41.1571,1.3403,2.33e-17,1.842e-17,8.058e-18,0.001,10.18,1,26.63346029885731
225,BackS007401,-41.1407,1.2422,1.195e-17,9.256e-18,3.999e-18,-0.001,8.45,1,27.305497146290175
226,BackS007427,-41.1383,1.252,3.294e-17,2.531e-17,1.113e-17,0.0,8.83,1,25.020644095788604
227,BackS007436,-41.174,1.4129,2.264e-17,1.713e-17,7.105e-18,-0.001,11.47,1,25.526537489469252
228,BackS007446,-41.1603,1.33,1.218e-17,9.441e-18,4.236e-18,0.001,10.15,1,27.977839335180054
229,BackS007448,-41.1604,1.4211,3.984e-17,3.064e-17,1.335e-17,-0.001,11.55,1,23.373617896631522
230,BackS007465,-41.1755,1.5183,2.407e-17,1.896e-17,8.143e-18,-0.0,13.14,1,26.083213773314206
231,BackS007466,-41.18,1.547,2.381e-17,1.884e-17,8.248e-18,0.0,13.29,1,24.587503381119827
232,BackS007474,-41.1794,1.5381,1.814e-17,1.399e-17,5.955e-18,-0.001,13.3,1,26.790450928381965
233,BackS007483,-41.1848,1.5175,1.673e-17,1.32e-17,5.992e-18,0.0,12.91,1,27.50378214826021
234,BackS007484,-41.1879,1.5201,3.439e-17,2.678e-17,1.166e-17,-0.0,12.88,1,24.09223429631593
235,BackS007485,-41.1293,1.2082,1.783e-17,1.409e-17,6.287e-18,-0.0,8.57,1,27.240035960443514
236,BackS007488,-41.1826,1.4924,1.839e-17,1.422e-17,5.987e-18,-0.0,12.5,1,27.772685609532537
