,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period,Absolute_Magnitude,Dist
36,BackS002357,-39.9319,-0.0369,1.686e-17,1.363e-17,6.156e-18,0.0,13.14,1,26.571178018123355,-8.173638043191712,22178.54495758954
37,BackS002359,-39.919,-0.0458,2.04e-17,1.537e-17,6.34e-18,-0.001,13.18,1,26.822071407494835,-8.197481507022122,20319.934923211025
38,BackS002360,-39.9313,-0.0394,3.754e-17,2.941e-17,1.285e-17,0.0,13.14,1,23.543123543123542,-7.885869172389515,21028.965163220448
40,BackS002370,-40.2208,0.0785,2.033e-17,1.547e-17,6.605e-18,0.001,17.67,1,25.15914752283421,-8.039446791177447,24295.81363305567
41,BackS002371,-39.9408,-0.0589,1.976e-17,1.554e-17,6.807e-18,-0.0,13.3,1,25.96401028277635,-8.11593631588433,22197.61603214168
43,BackS002386,-39.9871,-0.067,2.102e-17,1.594e-17,6.643e-18,-0.001,13.84,1,23.914759273875294,-7.921187293470606,27425.98251115687
44,BackS002388,-39.9943,-0.0677,3.435e-17,2.588e-17,1.117e-17,0.001,13.93,1,24.80218281036835,-8.005522919242303,19532.435748423708
45,BackS002396,-40.0973,0.0794,1.489e-17,1.163e-17,5.196e-18,0.0,16.03,1,27.01337295690936,-8.21566170533501,22875.95797116942
46,BackS002409,-39.9774,0.0351,1.442e-17,1.088e-17,4.57e-18,-0.0,14.66,1,25.699745547073793,-8.090822116250926,27307.031681533805
47,BackS002416,-40.2436,0.0312,1.55e-17,1.211e-17,5.315e-18,-0.0,17.07,1,27.37127371273713,-8.249674533444324,21557.1161496385
48,BackS002420,-39.8841,-0.0231,1.474e-17,1.17e-17,5.291e-18,-0.0,13.46,1,27.943436827543803,-8.304049623067703,20600.71327679341
49,BackS002427,-40.304,0.0918,1.488e-17,1.17e-17,5.14e-18,-0.001,17.8,1,26.664711058961572,-8.182526885108835,23694.286016562502
50,BackS002431,-39.8821,-0.077,1.402e-17,1.122e-17,5.098e-18,0.001,13.07,1,26.44748327029386,-8.161882806223243,24777.767212686143
51,BackS002432,-40.2974,0.1173,3.287e-17,2.446e-17,1.029e-17,-0.001,17.7,1,25.355648535564853,-8.058121116560905,18910.85720779121
52,BackS002456,-40.1691,0.0177,2.913e-17,2.23e-17,9e-18,0.001,16.81,1,24.041258926209995,-7.933209092420979,22868.781353973613
53,BackS002498,-39.9424,-0.0356,1.063e-17,8.312e-18,3.774e-18,0.0,13.25,1,28.756722556153115,-8.381339618242396,22360.289578101427
56,BackS002525,-39.952,-0.069,2.58e-17,1.976e-17,8.084e-18,0.001,13.39,1,24.910934502603453,-8.015858054204605,22089.073626422796
58,BackS002565,-39.9941,0.0483,1.455e-17,1.13e-17,4.791e-18,0.0,14.8,1,25.699745547073793,-8.090822116250926,26794.75066525414
60,BackS002581,-40.2439,0.0364,1.246e-17,9.798e-18,4.397e-18,0.0,17.17,1,25.64174894217207,-8.085310452692454,28958.499578967254
61,BackS002587,-39.8892,-0.0351,2.915e-17,2.221e-17,9.442e-18,0.0,13.27,1,23.23025811397904,-7.856136242549155,25041.34199133966
65,BackS003126,-44.8168,2.4128,1.115e-17,8.713e-18,3.965e-18,0.0,8.05,1,27.07774798927614,-8.22177953793181,26243.77912865506
67,BackS003219,-44.8598,2.4098,1.154e-17,9.031e-18,3.946e-18,-0.0,8.45,1,26.949303290839016,-8.209572892993634,26142.410650623762
68,BackS003222,-44.86,2.4099,9.776e-18,7.655e-18,3.434e-18,0.001,9.68,1,27.110050700864896,-8.224849401738586,27899.90353033677
69,BackS003235,-44.9109,2.3883,1.032e-17,7.98e-18,3.428e-18,0.0,5.77,1,27.110050700864896,-8.224849401738586,27325.860911970038
70,BackS003238,-44.9201,2.3834,2.216e-17,1.717e-17,7.393e-18,0.0,5.76,1,25.699745547073793,-8.090822116250926,21737.209661894794
71,BackS003247,-44.7873,2.4603,2.574e-17,1.915e-17,8.111e-18,-0.0,8.13,1,24.965668772315297,-8.021059684201424,22304.15470429166
72,BackS003250,-44.7893,2.4732,2.959e-17,2.296e-17,9.781e-18,0.0,8.3,1,26.083213773314206,-8.12726472960706,18025.26645586196
73,BackS003260,-44.7946,2.4988,8.052e-18,6.032e-18,2.556e-18,-0.0,8.35,1,26.727433107909437,-8.188487627674448,32773.70345113601
74,BackS003268,-44.8017,2.5319,1.413e-17,1.085e-17,4.587e-18,0.0,8.23,1,27.84073506891271,-8.294289438977662,21634.17863654774
76,BackS003271,-44.81,2.5341,2.779e-17,2.133e-17,8.957e-18,0.0,8.21,1,24.35038842753817,-7.962586981182,22605.341987008844
77,BackS003275,-44.8954,2.2789,1.261e-17,9.962e-18,4.531e-18,-0.0,5.46,1,25.787234042553187,-8.099136519363602,28265.617108180602
78,BackS003280,-44.8769,2.2653,1.723e-17,1.289e-17,5.496e-18,0.0,5.5,1,25.103562551781273,-8.03416431542097,26778.81676654752
79,BackS003282,-44.8523,2.5624,1.29e-17,9.96e-18,4.376e-18,-0.0,8.05,1,25.758005100595067,-8.09635876893293,28359.002201122767
82,BackS003318,-44.8875,2.399,3.784e-17,2.877e-17,1.203e-17,0.0,5.8,1,23.914759273875294,-7.921187293470606,20414.390703643057
83,BackS003331,-44.8214,2.4379,2.436e-17,1.899e-17,8.288e-18,0.001,8.19,1,25.214979195561718,-8.044752712041301,21795.215206569857
84,BackS003363,-44.9199,2.3514,9.705e-18,7.525e-18,3.276e-18,0.0,5.51,1,27.90911882100092,-8.300788237226541,25784.138732850643
85,BackS003372,-44.7992,2.4943,1.952e-17,1.499e-17,6.507e-18,0.001,8.36,1,26.023475522473518,-8.121587550041747,22454.604420064632
86,BackS003384,-44.9011,2.323,2.556e-17,1.978e-17,8.343e-18,-0.0,5.49,1,25.584013509710104,-8.079823609459602,20510.443517161762
87,BackS003395,-44.8976,2.3008,2.226e-17,1.696e-17,6.857e-18,0.001,5.49,1,24.667571234735416,-7.992730209785913,24486.23262894169
88,BackS003403,-44.8915,2.2784,8.096e-18,6.305e-18,2.886e-18,-0.001,5.5,1,28.46852489821484,-8.35395097141406,26496.10089331458
90,BackS003436,-44.91,2.5556,2.191e-17,1.66e-17,6.862e-18,0.001,7.77,1,24.117803130803924,-7.940483413112468,26284.774131652062
91,BackS003454,-44.7738,2.2731,1.472e-17,1.123e-17,4.789e-18,0.0,6.05,1,27.537109966676766,-8.265434656628463,21983.29528811613
92,BackS003462,-44.7422,2.2897,1.207e-17,9.489e-18,4.171e-18,-0.0,6.31,1,27.70496799756172,-8.281386917858125,23479.904044962706
98,BackS003872,-42.6342,-0.0598,2.113e-17,1.624e-17,7.222e-18,-0.0,6.73,1,26.386066763425255,-8.156046134863427,20734.03943076588
102,BackS004013,-42.5772,-0.0249,2.093e-17,1.589e-17,6.786e-18,0.0,4.82,1,26.981300089047195,-8.212613684553256,19639.5353717644
104,BackS004162,-42.6489,-0.0281,1.279e-17,9.998e-18,4.614e-18,-0.001,5.22,1,28.756722556153115,-8.381339618242396,20387.953043393416
106,BackS004255,-42.6679,-0.0358,2.171e-17,1.715e-17,7.734e-18,-0.0,5.61,1,25.271059216013345,-8.050082234443613,22794.329433160772
107,BackS004262,-42.5989,-0.0481,1.815e-17,1.442e-17,6.57e-18,-0.0,5.66,1,25.15914752283421,-8.039446791177447,25164.828454945673
108,BackS004275,-42.6694,-0.061,1.51e-17,1.149e-17,4.95e-18,0.0,6.05,1,27.07774798927614,-8.22177953793181,22853.36819497492
110,BackS004301,-42.6036,-0.1632,1.255e-17,9.61e-18,4.174e-18,0.0,7.8,1,25.412356723511323,-8.063510336386813,29983.555986222724
111,BackS004307,-42.5769,-0.1727,1.867e-17,1.467e-17,6.572e-18,0.0,8.04,1,27.110050700864896,-8.224849401738586,20153.953036125393
113,BackS004363,-42.6526,-0.1784,3.251e-17,2.479e-17,1.075e-17,0.0,7.69,1,25.584013509710104,-8.079823609459602,18321.031941777215
114,BackS004378,-42.6354,0.1188,8.848e-18,6.848e-18,2.928e-18,0.0,3.9,1,27.33834586466165,-8.246545260263522,28770.373105858027
115,BackS004386,-42.5125,-0.208,1.469e-17,1.168e-17,5.148e-18,0.001,8.12,1,27.272727272727273,-8.240309246922122,22188.296217530904
116,BackS004405,-42.4485,-0.1023,1.497e-17,1.157e-17,5.165e-18,-0.0,6.95,1,26.44748327029386,-8.161882806223243,24400.117483240207
117,BackS004410,-42.4395,-0.0647,2.314e-17,1.731e-17,7.076e-18,0.001,6.41,1,25.84589138470287,-8.104710975587569,21305.708375580223
118,BackS004422,-42.7235,-0.138,1.425e-17,1.087e-17,4.546e-18,-0.0,6.89,1,25.993708893337146,-8.11875870091605,26454.884970447685
119,BackS004432,-42.6661,-0.2104,2.366e-17,1.813e-17,7.793e-18,0.0,7.62,1,25.87532023911187,-8.107507724547073,20751.39205973927
120,BackS004437,-42.6374,-0.232,2.207e-17,1.661e-17,6.901e-18,0.001,7.88,1,25.787234042553187,-8.099136519363602,21890.058595487524
121,BackS004440,-42.5811,0.1357,2.418e-17,1.857e-17,7.727e-18,0.0,4.13,1,26.3249348392702,-8.150236508606929,19519.819338354944
122,BackS004445,-42.5348,-0.0483,1.562e-17,1.218e-17,5.504e-18,0.0,6.23,1,27.07774798927614,-8.22177953793181,22196.606700373843
123,BackS004446,-42.6687,-0.0517,2.223e-17,1.7e-17,7.437e-18,0.0,6.0,1,26.26408552441491,-8.144453739911858,20537.551683144982
124,BackS004467,-42.6533,-0.1099,1.242e-17,9.878e-18,4.425e-18,-0.0,7.2,1,27.305497146290175,-8.243423507114395,24041.066819799107
125,BackS004490,-42.6095,0.0567,1.652e-17,1.263e-17,5.347e-18,0.0,4.04,1,26.75890491610244,-8.191478527204353,22571.429308400166
126,BackS004502,-42.5487,-0.1748,1.692e-17,1.293e-17,5.416e-18,0.0,8.27,1,25.355648535564853,-8.058121116560905,26009.9896439904
127,BackS004531,-42.4802,-0.0854,1.573e-17,1.241e-17,5.524e-18,-0.0,6.93,1,27.90911882100092,-8.300788237226541,20077.97876787964
128,BackS004557,-42.5145,0.0476,2.175e-17,1.666e-17,7.16e-18,-0.0,5.0,1,27.5705186533212,-8.268609625939625,17982.815498496257
129,BackS004568,-42.6539,-0.1708,1.463e-17,1.132e-17,5.143e-18,0.001,7.53,1,27.17488789237668,-8.231011155280795,22780.917377023707
130,BackS004573,-42.6302,-0.1924,1.387e-17,1.078e-17,4.76e-18,-0.0,7.88,1,28.186046511627907,-8.327105851220455,20899.586515380845
131,BackS004599,-42.6761,0.0984,2.357e-17,1.807e-17,7.346e-18,0.0,4.19,1,26.113185866130422,-8.130113104818442,20251.83457827511
132,BackS004619,-42.737,0.0395,2.829e-17,2.2e-17,9.556e-18,0.0,4.94,1,26.63346029885731,-8.17955699271715,17338.44572194477
134,BackS004820,-43.5481,-0.4156,2.671e-17,2.066e-17,8.671e-18,-0.001,18.85,1,26.509186351706038,-8.167746711978438,18136.834306691107
137,BackS005089,-43.5136,-0.4616,1.559e-17,1.182e-17,4.957e-18,0.001,15.4,1,28.46852489821484,-8.35395097141406,19351.550873874738
139,BackS005160,-43.527,-0.4261,2.859e-17,2.248e-17,9.921e-18,0.001,18.07,1,25.242988058872534,-8.047414513218907,19970.75988060353
142,BackS005226,-43.5211,-0.4202,1.268e-17,1.013e-17,4.508e-18,0.001,17.98,1,26.63346029885731,-8.17955699271715,25551.52238644052
143,BackS005272,-43.5261,-0.4591,5.35e-17,4.074e-17,1.674e-17,-0.0,16.15,1,23.088646177292354,-7.842678259065405,18778.044250265295
145,BackS005282,-43.5436,-0.4164,1.516e-17,1.195e-17,5.47e-18,0.0,18.43,1,28.397375820056233,-8.347189372489943,19396.410244975526
150,BackS005439,-43.5794,-0.3591,2.763e-17,2.083e-17,8.479e-18,0.0,19.2,1,24.194836305562948,-7.947804202714417,23267.68971576158
151,BackS005443,-43.461,-0.5251,1.429e-17,1.124e-17,5.1e-18,-0.0,14.9,1,27.637579811492852,-8.274982732474225,21733.290153108457
152,BackS005449,-43.6076,-0.3353,3.118e-17,2.388e-17,1.015e-17,0.001,19.66,1,26.386066763425255,-8.156046134863427,17098.56923855221
154,BackS005473,-43.5938,-0.3801,3.96e-17,3.043e-17,1.288e-17,-0.0,18.59,1,24.041258926209995,-7.933209092420979,19576.925026277822
155,BackS005476,-43.4641,-0.4829,1.327e-17,1.051e-17,4.805e-18,0.0,16.09,1,28.72037914691943,-8.377885749785726,19964.377218962723
156,BackS005483,-43.4975,-0.4427,4.241e-17,3.205e-17,1.373e-17,0.001,16.91,1,24.748162265178326,-8.000389117516542,17655.963580190823
158,BackS005493,-43.5468,-0.381,2.58e-17,1.968e-17,8.193e-18,0.001,18.07,1,26.173337172473364,-8.135829538801547,19278.47530876478
159,BackS005505,-43.6083,-0.3102,2.277e-17,1.779e-17,7.603e-18,0.001,19.27,1,24.775143090760427,-8.002953219904784,23628.459938611002
160,BackS005511,-43.6332,-0.2933,1.606e-17,1.274e-17,5.747e-18,-0.0,19.66,1,27.305497146290175,-8.243423507114395,21169.15546904464
162,BackS005521,-43.4012,-0.5896,1.436e-17,1.107e-17,4.667e-18,0.001,14.6,1,26.949303290839016,-8.209572892993634,23612.378871699297
163,BackS005526,-43.4002,-0.5839,1.852e-17,1.463e-17,6.657e-18,0.001,14.64,1,28.081556997219646,-8.317175769109916,18146.37796368457
164,BackS005532,-43.6378,-0.3216,2.446e-17,1.844e-17,7.946e-18,-0.0,19.34,1,26.47829886396737,-8.16481134290174,19262.554043267417
166,BackS005556,-43.5319,-0.4742,5.832e-17,4.449e-17,1.834e-17,-0.0,16.75,1,25.271059216013345,-8.050082234443613,14152.321303505509
167,BackS005560,-43.5092,-0.504,2.344e-17,1.837e-17,8.117e-18,0.0,16.3,1,25.355648535564853,-8.058121116560905,21821.51321882421
168,BackS005565,-43.4753,-0.5451,1.596e-17,1.249e-17,5.545e-18,-0.0,15.73,1,28.326581489560613,-8.340461486742141,19120.006581880843
169,BackS005583,-43.6619,-0.2644,1.487e-17,1.163e-17,5.204e-18,-0.0,19.87,1,26.727433107909437,-8.188487627674448,23602.952304936603
170,BackS005648,-43.4547,-0.5136,3.239e-17,2.448e-17,1.011e-17,0.0,15.32,1,25.355648535564853,-8.058121116560905,18903.1306059538
171,BackS005650,-43.6048,-0.3632,2.545e-17,1.978e-17,8.912e-18,-0.001,18.95,1,25.64174894217207,-8.085310452692454,20381.288194747107
172,BackS005660,-43.4834,-0.4655,2.232e-17,1.711e-17,7.385e-18,0.001,16.34,1,26.416739319965124,-8.158961078115924,20132.349267137262
173,BackS005665,-43.4901,-0.4534,1.597e-17,1.275e-17,5.687e-18,-0.0,16.71,1,26.023475522473518,-8.121587550041747,24347.31825201453
174,BackS005685,-43.4961,-0.502,1.253e-17,9.83e-18,4.543e-18,0.0,15.97,1,27.73878547451938,-8.284600736248061,22983.85499122064
175,BackS005698,-43.4464,-0.5565,2.114e-17,1.619e-17,7.143e-18,0.001,15.01,1,25.84589138470287,-8.104710975587569,22030.334320975413
176,BackS005705,-43.4318,-0.5682,1.248e-17,1.005e-17,4.505e-18,-0.0,14.78,1,27.977839335180054,-8.307319039406472,22144.070192937328
177,BackS005731,-43.4164,-0.5655,1.312e-17,1.006e-17,4.257e-18,-0.001,14.8,1,27.045522166022014,-8.218716981149866,24509.95529189152
179,BackS005755,-43.4623,-0.475,2.553e-17,1.987e-17,8.525e-18,0.001,16.42,1,26.294474978304887,-8.14734177871777,18933.46830996145
186,BackS006192,-40.3171,4.9239,9.689e-18,7.64e-18,3.381e-18,-0.001,13.47,1,27.5705186533212,-8.268609625939625,26555.134641171895
191,BackS006350,-40.2984,4.8815,1.954e-17,1.518e-17,6.432e-18,-0.0,13.76,1,27.50378214826021,-8.26226737256828,18977.125423303234
192,BackS006378,-40.2904,4.8606,3.698e-17,2.861e-17,1.189e-17,0.001,13.75,1,24.246465724193115,-7.952710765532901,19741.751837372594
193,BackS006381,-40.3268,4.8769,3.632e-17,2.799e-17,1.18e-17,-0.001,13.09,1,24.587503381119827,-7.985121021770062,19228.173839755447
194,BackS006411,-40.3195,4.9608,1.076e-17,8.57e-18,3.831e-18,-0.001,14.16,1,27.90911882100092,-8.300788237226541,24161.031437149886
199,BackS006504,-40.3036,4.9139,2.085e-17,1.652e-17,7.211e-18,-0.0,17.48,1,23.301717508331198,-7.86292733213843,28809.207553898006
200,BackS006517,-40.2814,5.0118,3.678e-17,2.745e-17,1.12e-17,0.0,14.42,1,25.29919287503479,-8.052755895487355,17961.842249485122
201,BackS006529,-40.3659,4.8078,1.461e-17,1.159e-17,5.351e-18,-0.0,13.01,1,27.404280976786254,-8.252811353862223,21955.968806105862
202,BackS006530,-40.3709,4.812,4.144e-17,3.171e-17,1.321e-17,-0.0,13.16,1,22.606316836607807,-7.796840454339792,22437.87125692579
203,BackS006532,-40.2327,5.0111,1.427e-17,1.13e-17,5.037e-18,0.0,14.93,1,27.404280976786254,-8.252811353862223,22235.919920888588
204,BackS006546,-40.4299,4.8194,3.701e-17,2.912e-17,1.247e-17,0.001,12.67,1,24.169103961712306,-7.945358748844901,19734.446054123327
205,BackS006552,-40.4613,4.8261,1.34e-17,1.04e-17,4.374e-18,0.0,12.6,1,27.671232876712324,-8.278180926118756,22510.900444517618
206,BackS006559,-40.4877,4.8472,1.944e-17,1.519e-17,6.696e-18,-0.0,12.52,1,25.81652939505822,-8.101920581070459,22817.11979412225
207,BackS006560,-40.1235,4.9776,1.61e-17,1.266e-17,5.775e-18,-0.001,15.46,1,27.73878547451938,-8.284600736248061,20252.692977627357
209,BackS006582,-40.5268,4.9324,3.332e-17,2.521e-17,1.073e-17,0.0,12.72,1,23.470178156467853,-7.878936862643622,22895.237124126237
210,BackS006583,-40.0673,4.8889,1.529e-17,1.182e-17,5.083e-18,-0.0,15.27,1,26.44748327029386,-8.161882806223243,24140.699976458218
215,BackS007046,-41.1474,1.3781,3.504e-17,2.635e-17,1.079e-17,-0.001,11.05,1,23.325635103926096,-7.865200322777625,22751.473491364395
216,BackS007070,-41.1443,1.3228,1.402e-17,1.076e-17,4.613e-18,-0.0,8.61,1,28.611898016997163,-8.367576327508546,19966.672777239128
217,BackS007109,-41.146,1.3613,2.295e-17,1.775e-17,7.853e-18,0.001,9.34,1,26.023475522473518,-8.121587550041747,20635.122256813633
219,BackS007197,-41.1507,1.3351,2.098e-17,1.64e-17,7.283e-18,0.0,8.78,1,25.15914752283421,-8.039446791177447,23596.88523862834
220,BackS007352,-41.1437,1.2718,2.639e-17,2.059e-17,9.151e-18,0.0,8.32,1,24.041258926209995,-7.933209092420979,23799.469714783103
221,BackS007356,-41.1447,1.2695,3.892e-17,3.037e-17,1.33e-17,0.0,8.32,1,23.206535613990297,-7.85388179267359,21470.230536886538
222,BackS007361,-41.171,1.4484,1.651e-17,1.29e-17,5.408e-18,0.001,12.73,1,27.5705186533212,-8.268609625939625,20436.208827846942
223,BackS007365,-41.1434,1.2915,2.354e-17,1.84e-17,8.132e-18,0.0,8.9,1,26.949303290839016,-8.209572892993634,18314.9038061813
224,BackS007385,-41.1571,1.3403,2.33e-17,1.842e-17,8.058e-18,0.001,10.18,1,26.63346029885731,-8.17955699271715,18948.580919082615
225,BackS007401,-41.1407,1.2422,1.195e-17,9.256e-18,3.999e-18,-0.001,8.45,1,27.305497146290175,-8.243423507114395,24835.709623079576
226,BackS007427,-41.1383,1.252,3.294e-17,2.531e-17,1.113e-17,0.0,8.83,1,25.020644095788604,-8.026284222560463,19284.652439702633
227,BackS007436,-41.174,1.4129,2.264e-17,1.713e-17,7.105e-18,-0.001,11.47,1,25.526537489469252,-8.074361419271325,22178.930952954568
228,BackS007446,-41.1603,1.33,1.218e-17,9.441e-18,4.236e-18,0.001,10.15,1,27.977839335180054,-8.307319039406472,22847.120985586655
229,BackS007448,-41.1604,1.4211,3.984e-17,3.064e-17,1.335e-17,-0.001,11.55,1,23.373617896631522,-7.869760331254612,20988.21255940204
230,BackS007465,-41.1755,1.5183,2.407e-17,1.896e-17,8.143e-18,-0.0,13.14,1,26.083213773314206,-8.12726472960706,19835.74281442292
231,BackS007466,-41.18,1.547,2.381e-17,1.884e-17,8.248e-18,0.0,13.29,1,24.587503381119827,-7.985121021770062,23436.839175385823
232,BackS007474,-41.1794,1.5381,1.814e-17,1.399e-17,5.955e-18,-0.001,13.3,1,26.790450928381965,-8.194476478663596,21372.380792579766
233,BackS007483,-41.1848,1.5175,1.673e-17,1.32e-17,5.992e-18,0.0,12.91,1,27.50378214826021,-8.26226737256828,20350.699809381233
234,BackS007484,-41.1879,1.5201,3.439e-17,2.678e-17,1.166e-17,-0.0,12.88,1,24.09223429631593,-7.938053498231779,20752.382546927507
235,BackS007485,-41.1293,1.2082,1.783e-17,1.409e-17,6.287e-18,-0.0,8.57,1,27.240035960443514,-8.237202452741696,20274.179024675974
236,BackS007488,-41.1826,1.4924,1.839e-17,1.422e-17,5.987e-18,-0.0,12.5,1,27.772685609532537,-8.287822409983894,19038.77479843922
238,BackS007540,-41.1465,1.3563,2.576e-17,1.949e-17,7.964e-18,-0.0,10.5,1,25.214979195561718,-8.044752712041301,21513.829597098673
240,BackS007566,-41.1682,1.4653,1.676e-17,1.291e-17,5.604e-18,0.0,12.75,1,27.37127371273713,-8.249674533444324,20878.515299787465
241,BackS007570,-41.1723,1.4851,1.525e-17,1.169e-17,4.935e-18,0.0,12.95,1,27.045522166022014,-8.218716981149866,22737.057173575595
242,BackS007576,-41.1367,1.2195,1.272e-17,1.015e-17,4.568e-18,0.001,8.14,1,28.116300649551498,-8.320477605877262,21703.420053468468
243,BackS007580,-41.1355,1.2077,1.755e-17,1.331e-17,5.524e-18,-0.0,8.09,1,27.110050700864896,-8.224849401738586,21158.56799231525
246,BackS007620,-41.161,1.3848,2.496e-17,1.908e-17,8.192e-18,-0.0,10.99,1,24.721240141419635,-7.997830593811767,22950.677898994425
247,BackS007624,-41.1623,1.3584,1.733e-17,1.391e-17,6.273e-18,-0.001,10.59,1,24.965668772315297,-8.021059684201424,26170.17295877366
249,BackS007642,-41.1417,1.2415,2.659e-17,2.02e-17,8.563e-18,-0.0,8.84,1,25.555243182457126,-8.077089443131172,20360.085325104334
250,BackS007661,-41.1808,1.5469,3.055e-17,2.378e-17,1.018e-17,0.0,13.29,1,25.526537489469252,-8.074361419271325,18824.062894434024
255,BackS008113,-39.8891,3.398,2.292e-17,1.732e-17,7.464e-18,0.001,18.83,1,28.012326656394453,-8.310596515939604,16804.585248889944
258,BackS008258,-39.9628,3.3993,2.444e-17,1.817e-17,7.53e-18,0.0,19.8,1,27.240035960443514,-8.237202452741696,17853.41540131152
260,BackS008363,-39.9961,3.3994,3.065e-17,2.355e-17,1.011e-17,0.0,19.77,1,26.3249348392702,-8.150236508606929,17333.50100420384
261,BackS008369,-40.0007,3.4046,1.811e-17,1.417e-17,5.968e-18,-0.001,20.01,1,27.772685609532537,-8.287822409983894,19072.33515376262
265,BackS008430,-39.7956,3.3562,3.448e-17,2.636e-17,1.102e-17,-0.0,18.71,1,24.910934502603453,-8.015858054204605,19124.860232154027
266,BackS008435,-39.8028,3.3451,2.25e-17,1.719e-17,6.957e-18,0.0,18.49,1,25.787234042553187,-8.099136519363602,21517.598613212398
267,BackS008459,-39.8261,3.2884,1.907e-17,1.433e-17,5.919e-18,0.001,18.22,1,26.822071407494835,-8.197481507022122,21044.3807755574
268,BackS008460,-39.9946,3.5166,3.538e-17,2.711e-17,1.129e-17,-0.001,20.96,1,23.06521187515859,-7.840451197855395,23078.609686625412
269,BackS008463,-39.9875,3.5277,1.455e-17,1.152e-17,5.04e-18,0.0,21.03,1,26.113185866130422,-8.130113104818442,25363.968668818132
270,BackS008473,-39.8695,3.2663,1.82e-17,1.422e-17,6.269e-18,-0.0,17.97,1,27.110050700864896,-8.224849401738586,20470.36096750658
271,BackS008480,-39.9231,3.5414,3.57e-17,2.679e-17,1.111e-17,-0.001,21.02,1,23.64109232769831,-7.895179561863584,21798.362087181413
272,BackS008504,-39.8021,3.3626,1.691e-17,1.315e-17,5.744e-18,0.0,18.69,1,25.612848689771766,-8.082563939025743,25075.82059827923
274,BackS008522,-39.796,3.3221,1.498e-17,1.141e-17,4.904e-18,-0.0,18.35,1,28.756722556153115,-8.381339618242396,19084.789258627843
275,BackS008528,-40.004,3.4908,1.062e-17,8.223e-18,3.661e-18,-0.001,20.9,1,25.84589138470287,-8.104710975587569,30912.16102823626
277,BackS008559,-39.8897,3.2576,2.236e-17,1.669e-17,6.948e-18,-0.0,18.1,1,27.637579811492852,-8.274982732474225,17835.301913924148
278,BackS008573,-39.8687,3.5286,1.631e-17,1.233e-17,5.147e-18,0.0,20.85,1,26.917382291975123,-8.206539304967468,22451.678219170753
283,BackS009109,-42.3334,3.4836,1.314e-17,1.011e-17,4.19e-18,-0.0,13.92,1,27.943436827543803,-8.304049623067703,22161.52339258119
284,BackS009143,-42.2674,3.4779,4.123e-17,3.107e-17,1.313e-17,-0.001,12.59,1,24.829281617044522,-8.008098233874742,17773.798669168853
286,BackS009170,-42.3153,3.4942,4.164e-17,3.14e-17,1.3e-17,0.0,10.27,1,24.64082407156411,-7.990188313328463,18048.496073222188
288,BackS009175,-42.2959,3.4723,2.126e-17,1.668e-17,7.16e-18,-0.0,12.84,1,26.3249348392702,-8.150236508606929,20596.039807328303
290,BackS009180,-42.3431,3.518,2.114e-17,1.65e-17,6.938e-18,0.001,15.23,1,25.131324301907654,-8.036802632383667,23596.995607956887
291,BackS009187,-42.3606,3.5179,1.729e-17,1.34e-17,6.028e-18,0.001,15.22,1,25.355648535564853,-8.058121116560905,25549.772799405546
