,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period,Absolute_Magnitude,Dist
28,BackS002093,-40.0579,0.0178,6.488e-14,6.544e-14,4.847e-14,0.0,14.79,1,45.97875569044005,-4.509692827033713,21738.618507721494
30,BackS002145,-40.0494,0.02,9.809e-14,8.971e-14,5.267e-14,0.0,14.63,1,41.60183066361556,-4.249672384935476,25046.288524451986
39,BackS002364,-39.9308,-0.0479,9.562e-14,7.779e-14,3.623e-14,-0.0,13.13,1,43.59712230215827,-4.368206883650707,23465.76258766266
42,BackS002383,-40.189,0.0922,8.614e-14,6.781e-14,3.105e-14,-0.0,17.18,1,44.44987775061125,-4.418866615619955,23709.359400498866
54,BackS002513,-39.9549,-0.0481,4.959e-14,4.56e-14,2.766e-14,0.0,13.28,1,48.22281167108753,-4.643005694995832,22336.479863763147
55,BackS002522,-39.9331,-0.0699,4.955e-14,5.316e-14,4.462e-14,0.001,13.27,1,46.165566277298126,-4.520790703073574,23812.893098616412
57,BackS002554,-40.0859,-0.0468,6.458e-14,4.946e-14,2.12e-14,0.001,14.97,1,46.44864588656106,-4.537607642979658,24214.144094325584
59,BackS002566,-40.1639,-0.0122,6.159e-14,5.145e-14,2.552e-14,0.001,16.06,1,47.61655316919853,-4.606989632869824,21918.583994914887
62,BackS002686,-44.7816,2.3866,4.49e-14,4.269e-14,2.841e-14,0.0,6.95,1,46.83153013910355,-4.560353687750451,25389.846702609193
63,BackS002739,-44.8255,2.3791,9.676e-14,7.465e-14,3.184e-14,-0.0,6.55,1,43.513642891335564,-4.363247613575211,24091.358324607834
64,BackS002824,-44.8049,2.4249,4.975e-14,4.22e-14,2.268e-14,-0.0,7.78,1,48.01901743264659,-4.630898869392988,23544.76390000128
66,BackS003132,-44.9031,2.3872,8.114e-14,6.357e-14,2.764e-14,-0.001,5.48,1,42.14186369958275,-4.281754183892339,28674.56262745808
75,BackS003269,-44.8082,2.5287,4.532e-14,4.067e-14,2.376e-14,0.001,8.23,1,45.79345088161209,-4.498684404906516,27926.770198038063
80,BackS003300,-44.7599,2.2613,5.564e-14,4.643e-14,2.329e-14,0.0,6.2,1,44.800394282897976,-4.439689787853742,27974.07688902848
81,BackS003302,-44.9733,2.5455,5.338e-14,4.074e-14,1.72e-14,0.001,7.36,1,46.73521850899743,-4.554632092684071,26162.150601058565
89,BackS003409,-44.8815,2.274,5.944e-14,5.464e-14,3.331e-14,0.0,5.61,1,45.066931085770946,-4.455523967533251,25321.10597658794
93,BackS003624,-42.6304,-0.0239,1.068e-13,8.086e-14,3.392e-14,0.0,4.87,1,42.22015791918254,-4.286405416771427,25288.928184249788
94,BackS003741,-42.5678,-0.0909,6.223e-14,5.506e-14,3.112e-14,0.001,7.82,1,45.97875569044005,-4.509692827033713,23699.298057156593
95,BackS003750,-42.5912,-0.0452,7.066e-14,6.649e-14,4.223e-14,0.001,5.89,1,46.353901070882195,-4.531979127821563,21019.978603252082
96,BackS003824,-42.6345,0.0484,6.269e-14,5.151e-14,2.467e-14,0.001,4.14,1,45.60963371801304,-4.48776435947477,25128.817099199878
97,BackS003857,-42.6544,-0.0515,7.345e-14,6.423e-14,3.569e-14,0.0,5.84,1,46.63930220625962,-4.548933982871939,20973.16857437215
99,BackS003903,-42.5586,-0.042,9.031e-14,8.464e-14,5.383e-14,0.0,6.02,1,45.60963371801304,-4.48776435947477,19603.33641333416
100,BackS003935,-42.5635,-0.0576,1.149e-13,9.493e-14,4.631e-14,-0.001,7.43,1,42.93811998110534,-4.329057463952224,22221.303323644166
101,BackS003976,-42.5813,-0.0149,8.905e-14,8.97e-14,6.573e-14,0.001,4.69,1,44.104803493449786,-4.398366753192807,21106.70313658962
103,BackS004053,-42.5802,-0.0489,5.09e-14,3.916e-14,1.687e-14,-0.001,6.27,1,46.44864588656106,-4.537607642979658,27212.900701324696
105,BackS004252,-42.6536,-0.0468,1.271e-13,1.024e-13,4.995e-14,0.0,5.96,1,42.857142857142854,-4.324246847493517,21514.26917254918
109,BackS004285,-42.5421,0.0135,5.151e-14,4.061e-14,1.883e-14,-0.0,5.04,1,47.41784037558685,-4.5951846811905455,25008.7027525048
133,BackS004703,-43.4229,-0.537,8.69e-14,7.801e-14,4.463e-14,-0.0,15.08,1,44.36310395314788,-4.413711635573304,22236.633760806104
135,BackS004868,-43.5214,-0.4609,1.185e-13,8.895e-14,3.763e-14,-0.0,15.58,1,42.93811998110534,-4.329057463952224,22956.109719971664
136,BackS005012,-43.5279,-0.4161,9.374e-14,7.332e-14,3.148e-14,0.0,18.56,1,42.696101456082665,-4.314679844165116,25706.849190947127
138,BackS005107,-43.603,-0.4606,8.977e-14,6.908e-14,3.019e-14,-0.0,17.95,1,43.7650457390467,-4.378182728800164,24616.84953607136
140,BackS005203,-43.5301,-0.4421,8.704e-14,7.759e-14,4.475e-14,0.001,16.03,1,44.71224790949336,-4.434453267044827,21770.60461867595
141,BackS005220,-43.526,-0.4357,1.057e-13,8.331e-14,3.699e-14,0.0,17.24,1,42.37762237762237,-4.2957599242960836,24647.420280995357
144,BackS005277,-43.5426,-0.4448,5.899e-14,5.559e-14,3.482e-14,-0.0,17.07,1,48.12069878242456,-4.636939463956609,20371.918543882344
146,BackS005298,-43.5384,-0.4205,1.381e-13,1.118e-13,5.307e-14,0.0,18.22,1,41.60183066361556,-4.249672384935476,22435.869526876588
147,BackS005374,-43.5406,-0.416,6.294e-14,4.913e-14,2.201e-14,-0.0,17.89,1,45.60963371801304,-4.48776435947477,25730.275610712153
148,BackS005396,-43.5333,-0.412,1.201e-13,1.019e-13,5.349e-14,0.0,17.89,1,44.536991670749636,-4.424041801369876,19226.135878444074
149,BackS005397,-43.5402,-0.4026,1.175e-13,9.405e-14,4.252e-14,0.001,18.21,1,43.18289786223278,-4.343599009095573,21954.37588184438
153,BackS005451,-43.4415,-0.5414,9.386e-14,7.865e-14,3.871e-14,-0.001,14.62,1,43.934267762203966,-4.38823571919969,22805.14179670374
157,BackS005487,-43.5424,-0.4529,7.435e-14,6.666e-14,3.97e-14,-0.0,17.05,1,46.73521850899743,-4.554632092684071,20452.73064995946
161,BackS005518,-43.411,-0.5842,1.189e-13,9.166e-14,4.078e-14,-0.0,14.52,1,43.7650457390467,-4.378182728800164,21370.69809946583
165,BackS005539,-43.4248,-0.5267,7.722e-14,6.197e-14,2.957e-14,-0.0,15.56,1,46.63930220625962,-4.548933982871939,21352.181896252758
178,BackS005751,-43.6,-0.3938,8.912e-14,7.463e-14,3.699e-14,0.001,18.1,1,46.73521850899743,-4.554632092684071,19329.794317098003
180,BackS005771,-43.5117,-0.512,4.296e-14,4.068e-14,2.691e-14,0.0,16.26,1,48.428343100692594,-4.655215722095557,23318.556728269377
181,BackS005773,-43.4994,-0.5093,5.135e-14,4.059e-14,1.894e-14,0.0,16.12,1,48.531767218366255,-4.661359849453534,23179.846176172694
182,BackS005799,-43.3969,-0.6077,9.65e-14,7.735e-14,3.537e-14,-0.001,14.54,1,45.2463912394226,-4.466185175620102,21022.155933272683
183,BackS005857,-40.3343,4.9432,8.057e-14,6.303e-14,2.793e-14,0.0,13.52,1,45.33665835411471,-4.471547683528126,23144.750564797632
184,BackS005859,-40.3043,4.9116,6.597e-14,5.887e-14,3.357e-14,-0.0,13.6,1,45.51827741612418,-4.482337146109218,23652.900727701042
185,BackS006189,-40.2835,4.8946,9.936e-14,7.653e-14,3.387e-14,-0.0,14.78,1,43.59712230215827,-4.368206883650707,23658.14566830694
187,BackS006210,-40.3233,4.9108,7.143e-14,6.611e-14,4.155e-14,0.0,13.08,1,46.353901070882195,-4.531979127821563,21080.303414765873
188,BackS006302,-40.2935,4.9433,1.234e-13,9.646e-14,4.198e-14,-0.0,14.46,1,42.37762237762237,-4.2957599242960836,22905.849824050772
189,BackS006310,-40.2621,4.9147,6.549e-14,6.217e-14,4.007e-14,0.001,15.2,1,46.92823954568921,-4.566098913565686,20900.665249341975
190,BackS006311,-40.3798,4.9071,9.884e-14,8.088e-14,3.784e-14,0.0,12.59,1,43.513642891335564,-4.363247613575211,23144.916692124913
195,BackS006417,-40.2833,4.9457,8.795e-14,6.623e-14,2.729e-14,-0.0,14.63,1,44.01937046004842,-4.3932914240567875,24707.392271845772
196,BackS006428,-40.3152,4.8478,8.452e-14,6.402e-14,2.689e-14,0.0,13.37,1,43.01940369143398,-4.333886293819198,26909.090431104927
197,BackS006457,-40.2959,4.9891,5.275e-14,5.599e-14,4.341e-14,-0.001,14.6,1,45.70135746606335,-4.493213401752803,23951.79496833236
198,BackS006478,-40.3038,4.8354,8.936e-14,7.111e-14,3.273e-14,0.0,13.69,1,44.276668290306866,-4.4085767431254705,23428.59738126093
208,BackS006571,-40.0883,4.9429,5.785e-14,4.578e-14,2.087e-14,-0.001,15.34,1,45.97875569044005,-4.509692827033713,25990.563308233952
211,BackS006596,-40.2666,5.0133,5.703e-14,5.912e-14,4.49e-14,0.0,14.48,1,46.25954198473282,-4.526373527737901,22436.030588389614
212,BackS006643,-40.1038,4.9545,6.435e-14,5.154e-14,2.342e-14,0.0,15.44,1,46.25954198473282,-4.526373527737901,24029.294993370444
213,BackS006817,-41.1502,1.3365,8.443e-14,6.453e-14,2.681e-14,0.0,9.67,1,43.43048256091734,-4.358307299142622,26059.466347641668
214,BackS006890,-41.1578,1.3314,8.484e-14,6.641e-14,2.861e-14,0.0,8.95,1,44.36310395314788,-4.413711635573304,24100.577100148577
218,BackS007174,-41.1582,1.3765,7.431e-14,6.969e-14,4.401e-14,0.0,12.05,1,44.276668290306866,-4.4085767431254705,23666.08370123204
237,BackS007493,-41.1354,1.2732,7.076e-14,5.558e-14,2.494e-14,0.0,9.42,1,45.2463912394226,-4.466185175620102,24799.79786044241
239,BackS007562,-41.1438,1.2788,1e-13,9.22e-14,5.764e-14,-0.0,8.88,1,44.01937046004842,-4.3932914240567875,20940.58583911332
244,BackS007599,-41.135,1.2417,7.111e-14,6.218e-14,3.29e-14,0.0,8.63,1,46.73521850899743,-4.554632092684071,21176.715144437745
245,BackS007614,-41.175,1.4143,5.449e-14,4.339e-14,1.955e-14,-0.0,11.56,1,45.2463912394226,-4.466185175620102,28068.072337254784
248,BackS007633,-41.1539,1.2938,7.397e-14,6.252e-14,3.214e-14,0.001,9.54,1,44.36310395314788,-4.413711635573304,24839.033747974314
251,BackS007782,-39.9228,3.4087,7.844e-14,6.167e-14,2.726e-14,-0.001,20.37,1,45.066931085770946,-4.455523967533251,23834.225393078777
252,BackS007980,-39.9076,3.3519,8.98e-14,7.15e-14,3.39e-14,0.0,18.36,1,43.513642891335564,-4.363247613575211,24616.322461211363
253,BackS007984,-39.9182,3.3937,1.177e-13,9.437e-14,4.309e-14,-0.0,19.15,1,42.06385932438686,-4.277120169830017,23660.446584560726
254,BackS008027,-39.8875,3.42,9.811e-14,7.357e-14,3.053e-14,-0.001,20.14,1,42.53626579316799,-4.305184470248627,25945.221747399533
256,BackS008135,-39.9354,3.4084,1.121e-13,9.579e-14,5.13e-14,-0.0,20.02,1,44.36310395314788,-4.413711635573304,20067.076004883642
257,BackS008221,-39.9404,3.3802,7.157e-14,6.244e-14,3.371e-14,0.0,18.67,1,44.88888888888889,-4.444946996152272,23977.011674056856
259,BackS008329,-39.846,3.3878,7.417e-14,6.379e-14,3.448e-14,0.0,18.95,1,44.71224790949336,-4.434453267044827,24010.27119388207
262,BackS008407,-39.8138,3.4024,5.81e-14,4.834e-14,2.433e-14,0.0,19.36,1,45.8859162039374,-4.5041775019649375,25454.110550878682
263,BackS008421,-39.7947,3.3769,6.703e-14,5.416e-14,2.55e-14,-0.0,19.07,1,44.536991670749636,-4.424041801369876,26371.799879784176
264,BackS008426,-40.0255,3.4348,6.972e-14,5.422e-14,2.274e-14,0.0,20.32,1,45.156482861400896,-4.4608439792189145,25263.775519337207
273,BackS008520,-39.8119,3.3374,7.154e-14,5.519e-14,2.47e-14,-0.0,18.32,1,45.2463912394226,-4.466185175620102,24887.267461999152
276,BackS008554,-39.9492,3.5429,1.168e-13,9.126e-14,4.074e-14,0.0,21.08,1,42.456795889771136,-4.300463393399443,23422.2208189622
279,BackS008691,-42.3365,3.5439,6.412e-14,6.096e-14,4.01e-14,0.0,15.12,1,45.156482861400896,-4.4608439792189145,23826.241049956952
280,BackS008794,-42.3023,3.456,8.931e-14,6.815e-14,2.785e-14,-0.0,12.7,1,43.100995732574674,-4.338733440726919,25935.84186511947
281,BackS009024,-42.2978,3.512,6.073e-14,6.08e-14,4.429e-14,-0.0,14.43,1,46.25954198473282,-4.526373527737901,22123.887758786503
282,BackS009043,-42.3392,3.4868,1.095e-13,9.297e-14,4.752e-14,0.0,14.44,1,43.513642891335564,-4.363247613575211,21587.6206471855
285,BackS009149,-42.3477,3.4995,1.125e-13,8.475e-14,3.524e-14,-0.0,14.91,1,41.90871369294606,-4.267903417103019,25233.554890233598
287,BackS009174,-42.334,3.5143,9.919e-14,9.177e-14,5.775e-14,-0.0,15.0,1,43.01940369143398,-4.333886293819198,22475.351225422084
289,BackS009178,-42.2909,3.4729,1.47e-13,1.126e-13,4.884e-14,0.0,12.8,1,41.90871369294606,-4.267903417103019,21891.680249071665
292,BackS009204,-42.3862,3.4961,4.278e-14,3.59e-14,1.828e-14,-0.0,14.94,1,47.02534919813761,-4.571867916828682,27322.398249660193
299,BackS009267,-42.4829,3.5552,4.829e-14,5.007e-14,3.888e-14,0.001,15.37,1,46.25954198473282,-4.526373527737901,24379.48012893575
304,BackS009370,-42.3561,3.4422,4.529e-14,4.448e-14,3.129e-14,0.0,13.69,1,47.51698902247779,-4.601074815209297,23734.506337857656
310,BackS009431,-42.1619,3.454,3.906e-14,3.262e-14,1.616e-14,-0.0,12.63,1,48.22281167108753,-4.643005694995832,26409.195658085653
316,BackS009966,-38.212,1.3194,3.778e-14,3.535e-14,2.284e-14,0.001,12.45,1,47.71653543307086,-4.612929289659633,26262.777003284853
317,BackS010049,-38.1317,1.3152,9.515e-14,7.676e-14,3.671e-14,0.0,12.94,1,43.934267762203966,-4.38823571919969,23084.190911658956
318,BackS010057,-38.2092,1.3271,8.959e-14,6.964e-14,3.08e-14,0.0,12.79,1,43.59712230215827,-4.368206883650707,24800.88490826322
320,BackS010108,-38.1296,1.314,3.482e-14,3.284e-14,2.12e-14,-0.001,13.01,1,48.635634028892454,-4.667530275912027,25587.820050118335
346,BackS010417,-38.0948,1.3498,7.183e-14,6.555e-14,4.031e-14,-0.001,13.55,1,45.97875569044005,-4.509692827033713,21720.370970942175
353,BackS010469,-38.1265,1.3965,6.162e-14,5.093e-14,2.482e-14,0.0,14.09,1,44.276668290306866,-4.4085767431254705,27683.74182090806
361,BackS010547,-38.0747,1.27,8.542e-14,6.674e-14,2.984e-14,-0.0,12.51,1,43.43048256091734,-4.358307299142622,25624.373105023675
363,BackS010563,-38.3057,1.3187,1.036e-13,8.401e-14,3.974e-14,-0.001,12.48,1,42.2987436016752,-4.291073964617027,24677.293438934317
368,BackS010603,-38.1284,1.4807,1.118e-13,8.85e-14,4.037e-14,-0.0,14.05,1,42.2987436016752,-4.291073964617027,24043.150909748543
369,BackS010606,-38.1508,1.4683,7.24e-14,5.754e-14,2.653e-14,0.0,14.11,1,43.934267762203966,-4.38823571919969,26662.27549809405
372,BackS010826,-42.4371,2.3805,6.342e-14,4.996e-14,2.201e-14,-0.0,13.97,1,46.25954198473282,-4.526373527737901,24406.30427122504
378,BackS011236,-42.2517,2.3804,8.742e-14,7.066e-14,3.351e-14,0.001,11.94,1,44.36310395314788,-4.413711635573304,23364.5470255608
379,BackS011257,-42.237,2.3742,7.309e-14,6.626e-14,4.013e-14,-0.001,11.81,1,46.07197161682716,-4.51523051530601,21466.390555748174
380,BackS011281,-42.2896,2.3888,6.483e-14,5.939e-14,3.587e-14,-0.0,12.94,1,45.79345088161209,-4.498684404906516,23110.063292871047
381,BackS011288,-42.2909,2.3964,3.335e-14,3.116e-14,1.943e-14,0.0,12.71,1,49.05558553696708,-4.692478379002704,25524.784610160612
390,BackS011497,-42.3081,2.2929,5.222e-14,4.279e-14,2.091e-14,-0.0,13.83,1,46.07197161682716,-4.51523051530601,26712.442424630197
396,BackS011550,-42.4522,2.2976,1.26e-13,1.001e-13,4.474e-14,-0.0,14.72,1,43.680922633349354,-4.373185218676037,20567.91893419231
399,BackS011587,-42.3432,2.4769,6.937e-14,6.022e-14,3.216e-14,0.001,12.27,1,45.42728635682159,-4.476931630748126,23532.269261441048
408,BackS011636,-42.1995,2.372,6.725e-14,5.391e-14,2.523e-14,0.001,11.6,1,45.51827741612418,-4.482337146109218,24717.057109623216
415,BackS011701,-42.3128,2.2895,6.079e-14,5.528e-14,3.318e-14,0.0,13.71,1,45.97875569044005,-4.509692827033713,23652.09252751252
420,BackS011804,-42.2279,2.5009,5.696e-14,4.559e-14,2.142e-14,-0.0,11.21,1,46.353901070882195,-4.531979127821563,25384.91070131502
426,BackS011902,-43.3781,3.6557,9.603e-14,7.574e-14,3.536e-14,0.0,14.91,1,43.934267762203966,-4.38823571919969,23239.109912636854
427,BackS011906,-43.3964,3.7246,1.16e-13,8.802e-14,3.649e-14,-0.0,13.64,1,42.53626579316799,-4.305184470248627,23720.13097651426
428,BackS011911,-43.3756,3.6463,8.007e-14,6.433e-14,2.977e-14,0.0,16.81,1,45.066931085770946,-4.455523967533251,23336.259232580167
429,BackS012043,-43.3714,3.6476,1.099e-13,8.541e-14,3.675e-14,0.0,17.19,1,41.75470831419384,-4.258754403486556,25402.03074448098
430,BackS012049,-43.421,3.7306,7.703e-14,6.818e-14,3.776e-14,0.0,13.65,1,46.44864588656106,-4.537607642979658,20623.752114025352
431,BackS012103,-43.3692,3.6495,7.283e-14,5.559e-14,2.31e-14,-0.001,15.95,1,44.88888888888889,-4.444946996152272,25411.3749828199
433,BackS012354,-43.3863,3.6982,1.398e-13,1.079e-13,4.748e-14,0.001,13.64,1,42.2987436016752,-4.291073964617027,21774.70577103656
434,BackS012393,-43.3482,3.6523,9.418e-14,7.986e-14,4.205e-14,0.001,16.4,1,44.44987775061125,-4.418866615619955,21847.51465112031
437,BackS012440,-43.4138,3.6392,1.026e-13,8.648e-14,4.333e-14,-0.0,16.55,1,44.88888888888889,-4.444946996152272,20373.641571426986
438,BackS012445,-43.3938,3.6511,2.906e-14,3.076e-14,2.497e-14,0.0,15.6,1,48.22281167108753,-4.643005694995832,27195.934525663666
441,BackS012538,-43.3842,3.6674,1.086e-13,9.287e-14,4.922e-14,0.0,14.43,1,42.857142857142854,-4.324246847493517,22591.176752034466
446,BackS012757,-43.3668,3.6832,9.574e-14,7.625e-14,3.483e-14,0.0,15.06,1,42.37762237762237,-4.2957599242960836,25763.21832339269
451,BackS012788,-43.3262,3.5751,6.156e-14,5.961e-14,3.936e-14,-0.0,17.73,1,45.70135746606335,-4.493213401752803,23213.131850990783
454,BackS012800,-43.427,3.759,4.437e-14,4.227e-14,2.765e-14,-0.0,13.51,1,47.12286158631415,-4.577660845455133,25012.28988363268
455,BackS012803,-43.4226,3.7619,9.202e-14,6.891e-14,2.908e-14,0.001,13.44,1,42.456795889771136,-4.300463393399443,26954.245420996314
457,BackS012819,-43.3936,3.7441,1.068e-13,8.276e-14,3.482e-14,0.0,13.96,1,43.43048256091734,-4.358307299142622,23011.032692202545
460,BackS012826,-43.376,3.5712,6.322e-14,5.301e-14,2.612e-14,0.0,17.27,1,45.70135746606335,-4.493213401752803,24615.825071819447
467,BackS012874,-43.3036,3.5019,1.226e-13,9.701e-14,4.401e-14,0.001,18.29,1,43.100995732574674,-4.338733440726919,21738.272439699023
477,BackS012939,-43.38,3.6938,9.212e-14,7.126e-14,3.047e-14,0.001,14.37,1,44.276668290306866,-4.4085767431254705,23403.926170744988
488,BackS013137,-43.3985,3.778,1.511e-13,1.131e-13,4.775e-14,0.0,13.91,1,40.853932584269664,-4.205241925641767,23477.277575391963
489,BackS116511,-10.3504,-36.0635,1.738e-13,1.311e-13,5.324e-14,0.0,-16.91,1,40.70756829377519,-4.196546846953298,22025.472338749143
490,BackS116616,-10.2913,-36.0737,8.614e-14,7.115e-14,3.401e-14,-0.001,-18.07,1,47.02534919813761,-4.571867916828682,19407.901946953065
492,BackS117218,-10.3752,-36.0163,9.555e-14,7.355e-14,3.248e-14,-0.0,-17.96,1,44.536991670749636,-4.424041801369876,22630.167100438153
493,BackS117279,-10.3047,-35.938,1.352e-13,1.138e-13,5.707e-14,-0.0,-20.42,1,45.156482861400896,-4.4608439792189145,17438.409802359725
496,BackS117396,-10.335,-36.0398,1.546e-13,1.283e-13,6.638e-14,0.0,-17.33,1,42.53626579316799,-4.305184470248627,19646.918187437645
499,BackS126457,-43.4039,-1.2903,1.213e-11,1.046e-11,5.506e-12,0.001,3.65,1,46.07197161682716,-4.51523051530601,1708.5154092066532
502,BackS126498,-43.0287,-1.0307,1.264e-11,9.45e-12,3.934e-12,-0.0,4.1,1,44.104803493449786,-4.398366753192807,2056.367441932346
503,BackS126516,-43.2272,-1.3865,1.665e-11,1.36e-11,6.752e-12,0.001,1.95,1,42.61603375527426,-4.309923253902683,1897.880741457409
504,BackS126593,-42.9109,-0.6222,7.039e-12,7.241e-12,5.476e-12,0.001,5.16,1,45.8859162039374,-4.5041775019649375,2079.754033648097
510,BackS126786,-42.5202,-0.8566,2.044e-17,2.15e-17,1.701e-17,0.0,3.61,1,43.513642891335564,-4.363247613575211,1419570.4919262354
534,BackS126964,-42.2717,-0.9638,7.518e-12,7.593e-12,5.682e-12,0.001,3.18,1,46.165566277298126,-4.520790703073574,1992.4982495152271
541,BackS127043,-41.9546,-1.0107,7.574e-12,6.419e-12,3.355e-12,0.0,3.13,1,47.31910463300365,-4.589319076621118,2002.6579262735763
543,BackS127086,-41.5341,-2.6757,6.824e-12,6.613e-12,4.469e-12,0.0,1.35,1,48.531767218366255,-4.661359849453534,1816.0207810435286
545,BackS127128,-41.5098,-1.252,8.323e-12,7.167e-12,3.726e-12,0.001,2.7,1,46.83153013910355,-4.560353687750451,1959.5414472364023
546,BackS127144,-44.7728,0.1489,1.308e-11,1.07e-11,5.181e-12,0.0,5.68,1,43.7650457390467,-4.378182728800164,1977.9565481254783
547,BackS130967,-19.4457,35.1004,7.108e-11,7.159e-11,5.166e-11,0.001,1.19,1,45.33665835411471,-4.471547683528126,686.7520698215278
548,BackS131037,-19.6145,35.2927,9.564e-11,7.671e-11,3.552e-11,0.002,0.79,1,45.60963371801304,-4.48776435947477,651.1661689498079
549,BackS131139,-19.2879,35.9127,8.349e-11,6.674e-11,2.954e-11,0.001,1.64,1,46.07197161682716,-4.51523051530601,676.3813764552924
550,BackS131207,-18.5475,34.9042,1.28e-10,9.812e-11,4.03e-11,0.001,3.06,1,42.77647058823529,-4.319454341590889,698.8662365220334
551,BackS131323,-20.2638,35.6314,9.158e-11,7.393e-11,3.553e-11,0.002,0.38,1,45.70135746606335,-4.493213401752803,659.148011161079
553,BackS131456,-20.5033,34.9669,1.451e-10,1.185e-10,5.615e-11,0.003,0.02,1,44.44987775061125,-4.418866615619955,567.1625115485871
554,BackS131491,-20.0777,34.9512,7.587e-11,7.093e-11,4.439e-11,0.003,0.28,1,46.44864588656106,-4.537607642979658,639.4126125714532
560,BackS131535,-22.3609,36.591,5.829e-11,5.929e-11,4.575e-11,0.001,0.03,1,47.91776489193464,-4.624883749134327,632.5100060453433
574,BackS131616,-18.7027,35.2948,1.267e-10,1.115e-10,6.204e-11,0.002,2.73,1,43.680922633349354,-4.373185218676037,616.2684818886312
582,BackS133653,-16.116,0.35,1.444e-06,1.291e-06,7.466e-07,0.157,1.44,1,44.800394282897976,-4.439689787853742,5.3050805807449075
587,BottomS070684,31.1411,-22.5746,1.17e-13,9.525e-14,4.55e-14,-0.0,-7.4,1,42.53626579316799,-4.305184470248627,22802.12240525635
590,BottomS070735,31.0957,-22.5504,9.287e-14,7.205e-14,3.183e-14,-0.001,-11.81,1,44.44987775061125,-4.418866615619955,23001.15791339679
596,BottomS071176,30.9776,-22.6936,9.925e-14,7.893e-14,3.673e-14,-0.0,-7.99,1,44.276668290306866,-4.4085767431254705,22237.736354762415
597,BottomS071257,31.0054,-22.8718,8.013e-14,6.58e-14,3.121e-14,0.0,-2.11,1,45.33665835411471,-4.471547683528126,22652.34729642248
598,BottomS071347,30.6868,-22.7035,1.104e-13,9.605e-14,5.269e-14,0.0,-4.65,1,43.934267762203966,-4.38823571919969,20636.377120091372
599,BottomS071456,31.2682,-23.028,7.991e-14,6.125e-14,2.57e-14,-0.0,-7.71,1,45.066931085770946,-4.455523967533251,23915.803128657095
600,BottomS071603,30.4779,-22.7647,5.61e-14,5.034e-14,2.903e-14,0.0,-9.72,1,46.73521850899743,-4.554632092684071,23535.712378121356
