Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0168,-4.1880,-30.8284,1.419e-17,1.303e-17,5.830e-18,54.0175,387.46
FrontDG0208,19.8624,4.8763,1.179e-17,1.009e-17,3.975e-18,69.4398,400.98
FrontDG0246,13.4912,6.7566,8.661e-17,6.154e-17,2.109e-17,236.3819,203.65
FrontDG0247,12.8285,6.4394,2.942e-17,2.170e-17,1.068e-17,76.4143,204.04
FrontDG0248,13.5419,6.4968,3.077e-17,2.202e-17,1.061e-17,91.8666,204.64
FrontDG0249,13.4190,6.7927,1.977e-17,1.641e-17,7.546e-18,139.5017,198.46
FrontDG0250,14.0403,6.7426,2.038e-17,1.618e-17,6.873e-18,100.9106,202.21
FrontDG0251,13.5976,6.1722,3.019e-17,2.620e-17,1.074e-17,95.1002,203.0
FrontDG0252,13.2492,6.9372,2.823e-17,2.068e-17,1.023e-17,68.9754,208.32
FrontDG0253,13.7232,6.1988,3.184e-17,2.960e-17,1.268e-17,92.1358,205.62
FrontDG0254,12.9990,6.6714,3.122e-17,2.385e-17,1.071e-17,74.3865,204.34
FrontDG0255,13.9969,6.6566,3.125e-17,2.704e-17,1.243e-17,86.6312,206.11
FrontDG0256,13.8067,6.9895,3.340e-17,2.692e-17,1.178e-17,86.5228,207.07
FrontDG0257,13.6932,6.6628,3.016e-17,2.215e-17,1.048e-17,84.2576,202.57
FrontDG0258,13.1420,7.1549,3.344e-17,2.441e-17,1.101e-17,87.158,206.85
FrontDG0259,13.9185,6.8951,3.279e-17,2.688e-17,1.216e-17,87.8477,206.39
FrontDG0260,13.8669,6.6895,3.391e-17,2.808e-17,1.140e-17,89.1745,202.52
FrontDG0261,12.9231,6.6873,2.995e-17,2.673e-17,1.134e-17,88.9392,200.01
FrontDG0262,13.1213,7.3384,2.998e-17,2.245e-17,1.101e-17,88.7882,202.19
FrontDG0263,13.2326,7.1835,2.869e-17,2.702e-17,1.121e-17,75.7577,197.59
FrontDG0264,13.4156,6.3793,3.048e-17,2.580e-17,1.127e-17,94.0332,199.97
FrontDG0265,13.3918,6.5921,3.369e-17,2.417e-17,1.226e-17,82.4913,204.39
FrontDG0266,13.9000,7.2068,3.354e-17,2.313e-17,9.822e-18,61.5408,199.67
FrontDG0267,13.6309,7.3578,2.906e-17,2.194e-17,9.709e-18,80.397,204.5
FrontDG0268,13.4889,6.8266,2.192e-17,1.761e-17,8.317e-18,163.0769,197.95
FrontDG0269,13.0694,6.3457,1.978e-17,1.580e-17,7.516e-18,116.0436,205.29
FrontDG0270,13.2174,6.8913,3.462e-17,2.645e-17,1.192e-17,88.6597,201.81
FrontDG0271,13.9217,7.2341,3.067e-17,2.645e-17,1.101e-17,73.049,206.46
FrontDG0333,-1.8349,-38.0159,5.752e-18,5.483e-18,2.330e-18,50.4789,478.58
FrontDG0334,-1.8890,-37.9777,9.257e-18,7.467e-18,3.551e-18,42.5774,479.51
FrontDG0335,-1.9141,-37.9829,6.622e-18,5.654e-18,2.662e-18,53.5638,478.71
FrontDG0357,-40.4794,-7.7453,2.501e-17,2.036e-17,9.343e-18,162.5004,206.67
FrontDG0358,-40.3217,-7.5075,4.718e-17,3.516e-17,1.501e-17,82.7464,208.85
FrontDG0359,-40.5030,-7.9337,3.361e-17,2.728e-17,1.284e-17,96.9448,207.88
FrontDG0360,-40.2997,-7.5563,3.579e-17,2.943e-17,1.350e-17,90.9829,208.54
FrontDG0361,-40.5918,-7.9634,3.149e-17,2.661e-17,1.154e-17,83.0144,209.06
FrontDG0362,-40.2139,-7.6769,3.533e-17,3.109e-17,1.360e-17,83.9337,208.1
FrontDG0363,2.9319,35.8627,6.838e-18,5.640e-18,2.804e-18,64.9657,462.49
FrontDG0364,2.9154,35.8360,1.101e-17,8.578e-18,4.015e-18,38.9696,462.48
FrontDG0365,2.9802,35.7810,1.062e-17,7.485e-18,3.509e-18,35.4332,461.19
FrontDG0366,2.8835,35.8702,8.601e-18,8.715e-18,3.994e-18,46.134,462.62
FrontDG0367,2.9415,35.8632,1.013e-17,8.239e-18,3.711e-18,43.3811,462.19
FrontDG0412,4.1790,21.4411,4.378e-17,3.280e-17,1.160e-17,184.1305,358.14
FrontDG0413,3.8700,21.5013,1.733e-17,1.510e-17,7.260e-18,57.6967,356.59
FrontDG0414,4.2352,21.4595,1.741e-17,1.493e-17,6.589e-18,67.8748,355.0
FrontDG0415,4.2779,21.1710,1.183e-17,9.664e-18,4.121e-18,72.8329,358.3
FrontDG0416,3.9503,21.2928,1.558e-17,1.306e-17,5.275e-18,49.4792,356.38
FrontDG0417,4.4207,21.3339,1.629e-17,1.453e-17,7.183e-18,68.0307,357.52
FrontDG0418,4.0031,21.6013,1.583e-17,1.435e-17,6.498e-18,50.7089,353.39
FrontDG0419,4.1970,21.3404,1.089e-17,9.455e-18,4.055e-18,115.998,355.44
FrontDG0420,4.1097,21.6594,1.161e-17,8.643e-18,4.364e-18,48.0639,353.92
FrontDG0421,4.0958,21.2138,1.561e-17,1.090e-17,6.044e-18,59.4996,352.96
FrontDG0422,4.1081,21.3067,1.477e-17,1.317e-17,5.770e-18,49.6721,357.6
FrontDG0423,4.3794,21.2632,1.521e-17,1.314e-17,6.411e-18,51.4744,354.78
FrontDG0424,4.3702,21.5308,1.124e-17,9.420e-18,4.344e-18,62.2527,355.46
FrontDG0425,4.0305,21.2906,1.752e-17,1.220e-17,7.084e-18,61.4673,357.41
FrontDG0426,-15.6893,41.9657,4.458e-17,3.436e-17,1.111e-17,156.7327,350.17
FrontDG0427,-15.5853,41.9304,1.661e-17,1.339e-17,5.619e-18,70.0457,353.56
FrontDG0428,-15.9018,42.0479,1.601e-17,1.507e-17,6.615e-18,54.1025,349.06
FrontDG0429,-15.8623,42.1796,1.597e-17,1.374e-17,7.028e-18,62.949,353.43
FrontDG0430,-15.3655,41.9827,1.526e-17,1.276e-17,6.369e-18,46.1715,351.31
FrontDG0431,-15.7575,41.8989,1.461e-17,1.281e-17,5.348e-18,58.9071,351.06
FrontDG0432,-15.5102,41.6898,1.768e-17,1.488e-17,6.530e-18,58.5799,350.94
FrontDG0433,-15.9080,41.7264,1.628e-17,1.232e-17,5.408e-18,46.398,349.87
FrontDG0434,-15.8146,41.8509,1.519e-17,1.201e-17,5.675e-18,46.5831,352.89
FrontDG0435,-15.7285,41.9768,1.515e-17,1.366e-17,5.170e-18,54.975,350.47
FrontDG0436,-15.5482,41.8534,1.763e-17,1.381e-17,5.589e-18,54.9601,350.36
FrontDG0457,-28.0546,-7.1494,1.173e-17,8.542e-18,4.920e-18,49.5175,478.24
FrontDG0458,-28.0516,-7.1662,9.123e-18,8.847e-18,3.484e-18,43.7997,479.68
FrontDG0459,-28.0506,-7.1737,1.024e-17,8.025e-18,3.887e-18,42.3435,477.95
FrontDG0460,-28.0334,-7.1812,1.006e-17,7.577e-18,3.726e-18,44.1111,479.07
FrontDG0488,-13.8689,7.9378,2.850e-17,2.362e-17,7.777e-18,137.7067,457.44
FrontDG0489,-13.9865,7.9124,1.241e-17,8.708e-18,4.297e-18,43.4375,455.14
FrontDG0490,-13.7925,8.0922,1.418e-17,1.133e-17,5.203e-18,43.2699,458.08
FrontDG0491,-13.7897,7.8718,9.688e-18,8.408e-18,3.810e-18,43.7144,458.36
FrontDG0492,-13.9594,8.0355,1.063e-17,9.813e-18,4.171e-18,45.5209,458.37
FrontDG0493,-13.7539,7.8635,1.010e-17,8.533e-18,3.460e-18,36.9241,459.96
FrontDG0494,-13.8333,7.8736,1.061e-17,8.626e-18,4.136e-18,57.5488,456.73
FrontDG0495,-13.9792,8.0447,9.863e-18,8.272e-18,4.237e-18,33.4091,459.36
FrontDG0496,-13.8768,7.8921,7.242e-18,5.522e-18,2.605e-18,88.1079,458.1
FrontDG0497,-13.8799,7.9829,1.086e-17,8.705e-18,4.117e-18,49.4684,458.51
FrontDG0498,-13.8268,7.8965,7.462e-18,4.950e-18,2.478e-18,82.9775,454.6
FrontDG0499,-13.7217,8.0154,9.678e-18,8.249e-18,4.127e-18,42.608,454.92
FrontDG0525,-29.4844,28.0537,2.308e-16,1.923e-16,8.742e-17,457.351,95.21
FrontDG0526,-29.1099,27.2886,2.975e-16,2.521e-16,1.062e-16,247.493,93.81
FrontDG0527,-30.4540,28.1598,3.510e-16,2.471e-16,1.077e-16,303.1779,92.94
FrontDG0528,-28.8208,27.2769,3.143e-16,2.401e-16,1.114e-16,255.7235,95.28
FrontDG0529,-29.6119,27.4467,3.439e-16,2.654e-16,1.185e-16,243.4215,94.1
FrontDG0530,-29.3511,27.5022,3.369e-16,2.644e-16,1.292e-16,319.6977,94.43
FrontDG0562,7.6260,4.0603,5.533e-17,3.967e-17,1.488e-17,188.1589,334.71
FrontDG0563,7.5807,4.1356,2.042e-17,1.554e-17,7.400e-18,68.6068,337.42
FrontDG0564,7.7791,4.0812,3.011e-17,2.592e-17,9.496e-18,66.8712,336.04
FrontDG0565,7.6978,3.9883,2.068e-17,1.613e-17,8.511e-18,68.134,335.57
FrontDG0566,7.6525,3.9933,1.931e-17,1.706e-17,6.817e-18,63.6348,334.86
FrontDG0567,7.6761,3.9224,2.265e-17,1.786e-17,7.295e-18,81.087,335.12
FrontDG0568,7.6048,3.8264,2.888e-17,2.269e-17,1.034e-17,64.0866,335.86
FrontDG0569,7.4939,4.0627,2.057e-17,1.733e-17,7.228e-18,91.2282,335.28
FrontDG0570,7.5647,4.2781,2.167e-17,1.841e-17,7.344e-18,76.9039,334.81
FrontDG0571,7.6484,3.8925,2.041e-17,1.564e-17,6.825e-18,59.5672,336.07
FrontDG0572,7.7864,4.0911,2.193e-17,1.837e-17,7.966e-18,61.045,335.22
FrontDG0694,-14.7016,23.3910,1.167e-17,9.728e-18,4.056e-18,120.0521,366.03
FrontDG0695,-14.7703,23.4522,1.068e-17,9.763e-18,4.457e-18,69.7825,364.54
FrontDG0696,-14.6693,23.4507,2.312e-17,1.871e-17,8.048e-18,59.4784,364.72
FrontDG0697,-14.7453,23.3876,1.754e-17,1.419e-17,6.486e-18,56.1807,364.4
FrontDG0698,-14.6843,23.2798,1.830e-17,1.390e-17,6.069e-18,60.6263,366.06
FrontDG0699,-14.6708,23.5941,1.163e-17,8.799e-18,3.880e-18,63.7742,363.69
FrontDG0700,-14.6542,23.2949,1.018e-17,9.538e-18,4.236e-18,67.7744,365.3
FrontDG0701,-14.8624,23.4663,1.133e-17,9.082e-18,4.354e-18,57.2052,364.84
FrontDG0779,28.3081,41.2589,1.683e-17,1.390e-17,5.731e-18,44.4741,418.21
FrontDG0780,28.2996,41.2492,9.129e-18,6.400e-18,3.412e-18,53.9286,418.16
FrontDG0816,25.0782,-14.0727,1.123e-17,9.274e-18,4.226e-18,81.2422,357.07
FrontDG0817,24.9833,-14.0481,1.891e-17,1.480e-17,6.138e-18,57.6773,357.63
FrontDG0818,25.0015,-14.0525,1.596e-17,1.344e-17,6.141e-18,52.5239,357.66
FrontDG0819,25.0016,-14.0667,1.723e-17,1.484e-17,6.933e-18,68.7203,357.33
FrontDG0820,25.1946,-14.0973,1.758e-17,1.375e-17,6.133e-18,65.1156,356.27
FrontDG0821,-7.7654,14.6465,5.996e-18,4.951e-18,2.324e-18,45.6259,454.87
FrontDG0833,12.8216,29.1602,2.311e-17,1.902e-17,8.759e-18,58.6318,306.85
FrontDG0834,12.8015,29.1247,1.834e-17,1.449e-17,6.640e-18,74.1627,306.62
FrontDG0928,-25.2368,-1.5075,7.970e-18,6.850e-18,2.923e-18,74.6086,390.02
FrontDG0929,-25.3456,-1.5042,1.066e-17,9.383e-18,4.532e-18,48.1552,388.07
FrontDG0930,-25.2702,-1.5508,1.173e-17,9.923e-18,4.149e-18,40.5642,388.27
FrontDG0931,-25.2074,-1.5263,1.141e-17,1.028e-17,4.734e-18,48.1387,389.14
FrontDG0932,-25.2624,-1.5630,1.151e-17,8.902e-18,4.196e-18,42.0025,387.68
FrontDG0943,7.7597,-15.1377,1.043e-17,8.076e-18,3.809e-18,59.8907,376.59
FrontDG0957,-0.9050,1.7671,1.170e-17,1.041e-17,4.995e-18,55.6506,407.98
FrontDG0958,-0.9141,1.8092,1.828e-17,1.405e-17,6.047e-18,42.2249,407.03
FrontDG0973,34.4478,-24.8834,4.041e-17,2.967e-17,1.053e-17,147.6922,357.28
FrontDG0974,34.3769,-25.0609,1.607e-17,1.212e-17,5.339e-18,62.4166,358.01
FrontDG0975,34.5826,-25.0143,1.494e-17,1.075e-17,5.345e-18,45.7905,360.56
FrontDG0976,34.6702,-24.8839,1.383e-17,1.142e-17,5.297e-18,61.0431,357.69
FrontDG0977,34.2988,-24.9610,1.027e-17,7.977e-18,3.726e-18,68.3099,358.73
FrontDG0978,34.6361,-24.9840,1.488e-17,1.123e-17,5.773e-18,51.0471,360.75
FrontDG0979,34.4392,-24.9201,1.523e-17,1.306e-17,5.472e-18,60.3538,360.79
FrontDG0980,34.3669,-25.0654,1.392e-17,1.259e-17,5.370e-18,59.6753,356.94
FrontDG0981,34.4545,-24.6722,1.451e-17,1.340e-17,5.682e-18,51.8486,356.87
FrontDG0982,34.6812,-24.7320,1.470e-17,1.153e-17,5.576e-18,61.9655,358.22
FrontDG0983,34.6412,-25.0807,1.288e-17,1.150e-17,4.982e-18,48.4712,357.03
FrontDG0984,34.2333,-24.9068,1.341e-17,1.062e-17,5.637e-18,59.94,357.44
FrontDG0997,-22.7021,39.5693,2.867e-17,2.175e-17,7.749e-18,99.3972,452.6
FrontDG0998,-22.7163,39.4112,8.368e-18,6.130e-18,2.950e-18,80.7427,449.82
FrontDG0999,-22.6881,39.4082,1.013e-17,7.528e-18,3.954e-18,42.26,452.69
FrontDG1000,-22.5719,39.3584,1.055e-17,8.215e-18,3.937e-18,40.3003,450.54
FrontDG1001,-22.8116,39.5245,1.075e-17,8.641e-18,4.266e-18,43.631,452.95
FrontDG1002,-22.8951,39.6455,7.080e-18,5.446e-18,2.545e-18,51.1182,451.85
FrontDG1003,-22.7330,39.4509,6.794e-18,5.316e-18,2.878e-18,92.1526,450.7
FrontDG1004,-22.8890,39.5987,8.857e-18,7.864e-18,3.436e-18,36.4885,449.11
FrontDG1005,-22.6320,39.6614,9.266e-18,7.187e-18,3.461e-18,41.1003,449.08
FrontDG1006,-22.5884,39.4950,9.841e-18,9.258e-18,4.240e-18,45.5644,451.63
FrontDG1007,-22.6977,39.7309,9.603e-18,8.113e-18,3.819e-18,53.3527,452.95
FrontDG1035,12.1862,8.2453,7.261e-16,6.135e-16,1.905e-16,962.0822,58.49
FrontDG1036,12.6870,9.1099,3.274e-16,2.748e-16,1.143e-16,316.8978,59.67
FrontDG1037,12.6989,8.4031,3.255e-16,2.446e-16,1.094e-16,365.7103,55.01
FrontDG1038,11.6211,7.3646,3.234e-16,2.360e-16,1.030e-16,234.9255,59.27
FrontDG1039,11.5497,6.9095,2.092e-16,1.696e-16,8.084e-17,287.7506,56.68
FrontDG1040,12.8041,8.8375,2.063e-16,1.682e-16,6.620e-17,399.6762,59.19
FrontDG1041,13.4281,7.6140,2.862e-16,2.307e-16,1.033e-16,213.2844,53.15
FrontDG1042,13.8495,8.5463,2.805e-16,2.283e-16,1.029e-16,245.1872,55.87
FrontDG1043,12.6148,7.3569,4.243e-16,3.518e-16,1.406e-16,304.3575,57.02
FrontDG1044,13.1900,8.0653,2.996e-16,2.534e-16,1.149e-16,295.5344,58.28
FrontDG1045,12.6247,9.1367,2.190e-16,1.625e-16,7.211e-17,301.8741,59.37
FrontDG1046,11.4377,7.7039,2.051e-16,1.673e-16,7.726e-17,302.1402,55.2
FrontDG1047,10.6329,7.9322,3.931e-16,3.223e-16,1.321e-16,281.9072,53.49
FrontDG1048,12.5850,8.2840,2.023e-16,1.775e-16,7.938e-17,282.5691,53.16
FrontDG1049,11.1932,7.7547,3.237e-16,2.417e-16,1.007e-16,290.1295,59.25
FrontDG1108,18.1166,-15.9168,3.293e-17,2.412e-17,8.595e-18,88.3674,459.73
FrontDG1109,18.1490,-16.0261,1.174e-17,1.020e-17,4.468e-18,45.9933,460.55
FrontDG1110,18.0789,-15.9111,1.222e-17,1.019e-17,4.946e-18,49.9892,460.46
FrontDG1111,17.9849,-15.9658,1.210e-17,9.158e-18,4.594e-18,55.068,459.57
FrontDG1112,17.9495,-15.9861,1.311e-17,1.071e-17,4.742e-18,53.8461,459.77
FrontDG1113,18.0261,-15.7902,8.110e-18,7.000e-18,3.276e-18,53.6521,459.5
FrontDG1114,17.9664,-15.7698,1.137e-17,9.266e-18,4.655e-18,43.5665,460.87
FrontDG1115,18.2176,-16.0439,1.105e-17,9.255e-18,4.136e-18,43.1248,459.91
FrontDG1116,18.1447,-15.8717,1.064e-17,9.963e-18,4.204e-18,43.6598,462.28
FrontDG1117,18.2117,-15.8413,1.119e-17,9.369e-18,4.272e-18,47.529,459.53
FrontDG1118,14.2242,-11.5979,8.523e-18,6.577e-18,2.921e-18,75.586,435.76
FrontDG1119,14.2224,-11.6193,1.104e-17,9.802e-18,3.925e-18,42.6378,436.26
FrontDG1120,14.2403,-11.5762,1.110e-17,9.957e-18,4.563e-18,58.7485,435.76
FrontDG1121,14.1689,-11.6780,7.648e-18,6.568e-18,3.131e-18,49.1314,434.86
FrontDG1122,14.2407,-11.5787,1.193e-17,9.879e-18,4.412e-18,51.3985,435.61
FrontDG1126,27.9665,9.2534,1.598e-17,1.366e-17,6.356e-18,110.5413,337.8
FrontDG1127,28.1174,9.2875,2.998e-17,2.300e-17,9.820e-18,62.4683,340.03
FrontDG1128,27.9735,9.2142,2.338e-17,1.666e-17,8.376e-18,76.664,339.8
FrontDG1129,28.0400,9.2424,2.112e-17,1.635e-17,7.509e-18,62.4275,337.84
FrontDG1130,28.0753,9.2796,2.065e-17,1.721e-17,7.670e-18,66.7532,338.0
FrontDG1131,28.0428,9.2494,1.983e-17,1.803e-17,8.774e-18,68.5353,338.1
FrontDG1132,34.9075,-6.4765,7.661e-18,6.227e-18,2.776e-18,114.7095,475.95
FrontDG1133,34.8443,-6.5219,1.617e-17,1.493e-17,5.599e-18,53.6777,472.43
FrontDG1134,34.9638,-6.4973,1.169e-17,8.784e-18,4.408e-18,48.6218,473.09
FrontDG1135,34.8839,-6.4947,1.377e-17,1.126e-17,4.866e-18,46.1287,472.31
FrontDG1136,34.8510,-6.5302,1.226e-17,9.736e-18,4.274e-18,42.4669,473.02
FrontDG1137,34.6701,-6.4685,1.136e-17,8.893e-18,4.565e-18,43.5093,472.7
FrontDG1138,34.9813,-6.5000,1.098e-17,9.284e-18,4.419e-18,45.5572,472.73
FrontDG1139,35.1602,-6.4895,1.170e-17,9.925e-18,4.514e-18,45.5345,475.71
FrontDG1140,34.8978,-6.6431,8.359e-18,6.782e-18,3.174e-18,55.8109,474.99
FrontDG1154,34.6822,43.6585,1.294e-17,1.078e-17,5.176e-18,50.5003,430.68
FrontDG1155,34.7821,43.7171,1.204e-17,1.139e-17,4.874e-18,59.4726,429.84
FrontDG1156,34.8085,43.5268,1.366e-17,1.211e-17,5.519e-18,55.5816,431.13
FrontDG1157,34.8154,43.5587,1.292e-17,1.008e-17,5.187e-18,54.0451,430.89
FrontDG1233,29.0450,-24.1118,8.829e-18,8.372e-18,3.584e-18,135.5238,413.07
FrontDG1234,28.9795,-24.0067,1.496e-17,1.267e-17,5.795e-18,63.0126,411.42
FrontDG1235,29.0117,-24.2927,1.751e-17,1.282e-17,5.789e-18,56.2917,410.55
FrontDG1236,28.9018,-23.8827,1.432e-17,1.133e-17,5.244e-18,54.9072,410.96
FrontDG1237,29.0436,-24.0861,1.470e-17,1.227e-17,5.404e-18,48.8374,411.34
FrontDG1238,29.0522,-24.3422,1.588e-17,1.222e-17,6.725e-18,57.9777,414.86
FrontDG1239,29.0439,-24.1262,1.641e-17,1.413e-17,5.806e-18,60.1645,412.3
FrontDG1240,28.8944,-24.2081,1.586e-17,1.477e-17,6.016e-18,59.9831,410.94
FrontDG1241,29.1818,-24.2297,1.710e-17,1.420e-17,6.528e-18,65.1855,411.79
